Nom de l'offre touristique;Type d'offre;Type lieu de visite;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;Emplacement de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une vidéo;Widget tripadvisor;Equipements présents sur le site;Services proposés sur l'équipement de loisir;Point d'intérêt visible sans visite: oui / non;Thème du musée ou centre d'interprétation;Thème du musée ou centre d'interprétation;Type du parc ou jardin;Catégorie du parc ou jardin;Style architectural du parc ou jardin;Thème du parc et jardin;Catégorie du site ou monument;Style architectural du site ou monument;Thème du site et monument historique;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;Catégorie de la ville ou du village fleuri;Labels;Langues parlées à l'accueil;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Activité sur place;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langues des audio guides;Langues des panneaux d'information;Langues parlées;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Période/horaires par jour/précisions ouverture/précision fermeture;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif(s) de l'année en cours proposé(s);Mode(s) de paiement accepté(s);localisation;departement
COLLEGIALE NOTRE DAME DE L'ASSOMPTION;Site et monument historiques;Patrimoine culturel;;;Rue du doyenné;;72140;;SILLE-LE-GUILLAUME;;72334;48.1844099;-0.1266049;"Autoroute||Sortie Le Mans Nord||30 ; Gare SNCF||||0,5";;;02 43 52 15 15;;patrimoine.communication@sille-le-guillaume.fr;http://www.sille-le-guillaume.fr/;;Guidigo||https://www.guidigo.com/Tour/France/Sill%C3%A9-le-Guillaume/Sille-le-Guillaume/4apMAUlBQhk?lg=en;;;;;oui;;;;;;;Classé ou inscrit;Médiéval;Eglise;non;;;;;"Allemand;Anglais;Français";oui;30;10;;;;non;oui;oui;non;non;non;;"Français;Allemand;Anglais";Français;oui;Partenariat||PCU882000009;oui;;Mairie de Sillé-le-Guillaume||02 43 52 15 15||patrimoine.communication@sille-le-guillaume.fr;;;oui;;;48.1844099,-0.1266049;Sarthe
JARDIN DU DONJON DE BALLON;Parc et jardin;Patrimoine culturel;;;rue du château;;72290;;BALLON-SAINT MARS;;72023;48.1788798;0.23302283;"Autoroute||||4 ; Gare SNCF||LE MANS||23";En extérieur ombragé;06 07 17 45 93;02 43 27 30 51;;suzanne.babey@gmail.com;http://www.donjondeballon.fr;;;;;;;non;;;Collection de végétaux;;;"Jardin botanique;Jardin d'agrément";;;;non;;;;Jardin remarquable;Anglais;oui;;10;;30';30';oui;oui;oui;oui;oui;oui;;Français;"Français;Anglais";oui;"Proposition clientèle||FMAPDL072V50LGZC ; Proposition clientèle||HLOPDL072V50MXST ; Proposition clientèle||ORGPDL072V508WL2 ; Proposition clientèle||HLOPDL072V5000R0 ; Proposition clientèle||HLOPDL072V50MGGJ ; Proposition clientèle||FMAPDL072V50O0Q9 ; Proposition clientèle||ITI878000691 ; Proposition clientèle||ITIPDL072V50OZBE ; Proposition clientèle||ITIPDL072V50OZC5 ; Proposition clientèle||ITIPDL072V50P42L ; Proposition clientèle||ITIPDL072V50P444 ; Proposition clientèle||ITIPDL072V50P44A ; Proposition clientèle||FMAPDL072V50R3RV";;;"MME BABEY-GUEROULT||06 07 17 45 93||suzanne.babey@donjondeballon.com;MME RIBET||06 63 11 16 40||";;;non;"Tarif indiv. enfant||||||7-17 ans;Gratuité||||||Gratuit pour les personnes handicapées et leur accompagnateur";"Chèques bancaires et postaux;Espèces";48.1788798,0.23302283;Sarthe
CHATEAU DE GOULAINE;Site et monument historiques;Patrimoine culturel;;;Allée du château;;44115;;HAUTE-GOULAINE;;44071;47.1989357;-1.4091032;"Aéroport/aérodrome||Nantes Atlantique||20 ; Autoroute||A11 et A83||15 ; Gare routière||Nantes||15 ; Gare SNCF||Nantes||15 ; Route (nationale/départ.)||N249||5";;;02 40 54 91 42;;contact@chateaudegoulaine.fr;http://www.chateaudegoulaine.fr;https://www.youtube.com/watch?v=QCxl4mjqo7Y&list=UU4LU0fOXAkuIpCp0Ei0pF5w;"Facebook||https://www.facebook.com/pages/Ch%C3%A2teau-de-Goulaine/203810693028358?fref=ts;Tripadvisor||http://www.tripadvisor.fr/Attraction_Review-g187198-d2702282-Reviews-Chateau_de_Goulaine-Nantes_Loire_Atlantique_Pays_de_la_Loire.html;Google+||https://plus.google.com/u/0/116200707321245541109/posts;Instagram||https://www.instagram.com/chateaudegoulaine/?hl=fr";;;Bar / Salon de thé;Boutique;oui;;"Art moderne / contemporain;Histoire;Industrie";;;;Parc;Classé ou inscrit;"Médiéval ; Renaissance";"Château;Ensemble fortifié et remparts";non;;;;"Pays d'Art et d'Histoire;Qualité Tourisme";"Allemand;Anglais;Espagnol;Français";oui;100;20;Atelier pour enfants;1h30;1h30;oui;oui;non;oui;oui;oui;;"Français;Allemand;Anglais;Espagnol";"Français;Anglais;Espagnol";oui;;non;"02/04/2022||03/04/2022||A l'occasion des Journées Européennes des Métiers d'Art ||||||||||||||||||||||||||||||||||||||||||||10:00||18:00||||||10:00||18:00||||;10/07/2022||21/08/2022||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||||;17/09/2022||18/09/2022||A l'occasion des Journées Européennes du Patrimoine ||||||||||||||||||||||||||||||||||||||||||||14:00||18:30||||||10:00||19:00||||";Claire DOUILLARD||02 40 54 91 42||contact@chateaudegoulaine.fr;;;non;"Tarif indiv. adulte||10,50||||Pour les habitants de Haute Goulaine 5,50€ sur présentation d’un justificatif de domicile et une carte d’identité;Tarif indiv. enfant||5,50||||5 à 16 ans;Tarif indiv. réduit||7,50||||Étudiant, PMR et demandeur d'emploi;Habitant de Haute-Goulaine (sur justificatif) : 5,50€;Formule famille||32,00||||Pass Famille (à partir de 2 adultes et 3 enfants);Tarif abonné||16,50||||Accès illimité pendant les horaires d'ouverture valable 1 an;";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.1989357,-1.4091032;Loire-Atlantique
L'ENCEINTE ROMAINE DU MANS - CITÉ PLANTAGENÊT;Site et monument historiques;Patrimoine culturel;;Enceinte romaine;Cité Plantagenêt - Quai Louis Blanc;;72000;;LE MANS;;72181;48.0097953;0.19676805;"Aéroport/aérodrome||||7 ; Gare SNCF||||2 ; Gare routière||||2 ; Héliport||||7 ; Transport en commun||||0,5";En extérieur soleil;;02 43 28 17 22;;officedetourisme@lemans-tourisme.com;www.lemans-tourisme.com;;"Facebook||https://www.facebook.com/tourisme.le.mans;Twitter||https://twitter.com/lemanstourisme;Instagram||https://instagram.com/amazinglemans/";;;;;oui;;;;;;;"Classé ou inscrit ; Secteur sauvegardé ; ZPPAUP";"Antique ; Gallo-romain";"Ensemble fortifié et remparts;Site archéologique";oui;;;;Ville d'Art et d'Histoire;;oui;;;;;;;oui;oui;;;oui;;;"Français;Allemand;Anglais";oui;"Proposition clientèle||PCU878000053 ; Proposition clientèle||PCU878000052 ; Proposition clientèle||PCU878000202";oui;;||02 43 28 17 22||officedetourisme@lemans-tourisme.fr;;;oui;"Tarif groupe adulte||||||Forfait 2h de visite guidée pour un groupe à partir de 135 €;Tarif groupe enfant||||||Forfait 2h de visite guidée pour un groupe à partir de 95 €";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";48.0097953,0.19676805;Sarthe
MAISON DE BONCHAMPS;Musée et centre d'interprétation;Patrimoine culturel;;;61 rue de la Basse Meilleraie;Varades;44370;;LOIREAUXENCE;;44213;47.3719288;-1.0238949;"Gare SNCF||ANCENIS||15 ; Gare SNCF||VARADES ST FLORENT LE VIEIL||0,5 ; Autoroute||ANCENIS||14";;06 07 30 92 27;;;;http://www.varades.fr/;;;;;;;;;"Artisanat;Galerie d'art;Photographie et cinéma";;;;;;;;oui;;;;;Français;oui;12;;"Conférences ; Expositions temporaires";01:00;;non;non;oui;;non;non;;Français;Français;oui;;non;;;;;oui;;;47.3719288,-1.0238949;Loire-Atlantique
ÉGLISE SAINT-AUBIN - CHAMBELLAY;Site et monument historiques;Patrimoine culturel;;;;Le Bourg;49220;;CHAMBELLAY;;49064;47.689764;-0.6827313;"Gare SNCF||ANGERS||30 ; Autoroute||ANGERS||25 ; Route (nationale/départ.)||RN 162||2 ; Gare routière||LE LION D'ANGERS||10 ; Transport en commun||RN 162 carrefour de la Daudinière||2 ; Aéroport/aérodrome||NANTES||90 ; Halte fluviale||CHAMBELLAY||0";;;;;;;;;;;Aire de pique nique;;oui;;;;;;;Non Classé;XIXe siècle;Eglise;non;;;;;Français;oui;40;2;;20min;20min;non;oui;oui;non;non;oui;;Français;Français;oui;"Proposition clientèle||ASCPDL049V50EECX ; Proposition clientèle||LOIPDL049V50EELE";oui;;Mme BARDOT-PLOË||06 19 86 13 54||;;;oui;;;47.689764,-0.6827313;Maine-et-Loire
PARC DU CHÂTEAU DE LA MONTCHEVALLERAIE;Parc et jardin;Patrimoine culturel;;;;Aviré;49500;;SEGRÉ-EN-ANJOU BLEU;;49331;47.7104986;-0.8221655;"Gare SNCF||Angers||35 ; Gare routière||Segré||4 ; Route (nationale/départ.)||D78||1";"En extérieur ombragé ; En extérieur soleil";;02 41 61 32 24;;contact@chateaulamontchevalleraie.com;http://www.chateaulamontchevalleraie.com/;http://www.tripadvisor.fr/Hotel_Review-g954093-d944813-Reviews-Chateau_de_la_Montchevalleraie-Avire_Maine_et_Loire_Anjou_Loire_Valley_Pays_de_la_Loire.html;"Facebook||https://www.facebook.com/chateaudelamontchevalleraie;Tripadvisor||http://www.tripadvisor.fr/Hotel_Review-g954093-d944813-Reviews-Chateau_de_la_Montchevalleraie-Avire_Maine_et_Loire_Anjou_Loire_Valley_Pays_de_la_Loire.html;Twitter||http://www.twitter.com/LaMonchev;Instagram||https://instagram.com/lamontchevalleraie";;;;WiFi;non;;;;;A l'anglaise;"Jardin d'agrément;Parc";;;;non;;;;;"Anglais;Français";oui;;10;;1h;1h;non;non;oui;non;non;non;;;;oui;"Proposition clientèle||ITIPDL049V50EHX5 ; Proposition clientèle||ITIPDL049V50EIR1";non;01/05/2022||30/09/2022||Uniquement dans le cadre de la visite du château||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;BOULMANT NOMBALLAIS  Christian||02 41 61 32 24||contact@chateaulamontchevalleraie.com;;;non;Tarif indiv. adulte||8,00||8,00||Gratuit pour les enfants de moins de 12 ans;"Chèques bancaires et postaux;Espèces";47.7104986,-0.8221655;Maine-et-Loire
SAINTE-SUZANNE, PETITE CITÉ DE CARACTÈRE ET PLUS BEAUX VILLAGES DE FRANCE;Site et monument historiques;Patrimoine culturel;;;1bis, rue Jean de Bueil;;53270;;SAINTE-SUZANNE-ET-CHAMMES;;53255;48.097456;-0.349277;"Gare SNCF||Evron||8 ; Autoroute||A81-Le Mans-Rennes- sortie N°1 ||18";"En extérieur ombragé ; En extérieur soleil";;02 43 01 43 60;;info@coevrons-tourisme.com;;;;;;"Aire de pique nique;Bar / Salon de thé;Cafétéria / Restaurant;Salle de réunion équipée";"Bibliothèque;Boutique";oui;;;;;;;"Classé ou inscrit ; Secteur sauvegardé ; ZPPAUP";"Médiéval ; Renaissance ; XIXe siècle";"Chapelle;Château;Citadelle;Donjon;Eglise;Ensemble fortifié et remparts;Mégalithe;Moulin;Ruines et vestiges;Site archéologique;Pays - Ville - village et quartier";oui;chiens en laisse;;3 fleurs;"Pays d'Art et d'Histoire;Petites cités de caractère;Plus beaux villages de France;Station Verte;Ville et village fleuris";"Anglais;Français";oui;;10;"Animation thématique spécifique ; Atelier pour adultes ; Atelier pour enfants ; Expositions temporaires";;1h30;non;oui;oui;oui;oui;non;"Allemand;Anglais;Français";Français;"Français;Anglais";oui;;oui;;Office de tourisme de Ste Suzanne - les Coëvrons||02 43 01 43 60||info@coevrons-tourisme.com;;;oui;;;48.097456,-0.349277;Mayenne
MAISON DES CRÉATEURS;Musée et centre d'interprétation;Patrimoine culturel;;;57 rue Alphonse Fouschard;;44521;;OUDON;;44115;47.3461973;-1.2866195;"Gare SNCF||Gare d'Oudon||0,55 ; Route (nationale/départ.)||RD723||1,5";;;02 40 83 60 17;;accueil@oudon.fr;http://www.oudon.fr;;;;;;;;;Galerie d'art;;;;;;;;;;;;;;;;;Expositions temporaires;;;non;non;oui;non;non;non;;;"Français;Italien";oui;;non;;;;;oui;;;47.3461973,-1.2866195;Loire-Atlantique
MUSEE DE L'ATELIER DE L'IMPRIMERIE ANCIENNE;Musée et centre d'interprétation;Patrimoine culturel;;Château de la Groulaie;6 allée Olivier de Clisson;;44130;;BLAIN;;44015;47.465949;-1.765022;"Gare SNCF||Gare de Nantes||37,2 ; Route (nationale/départ.)||RN 137||11,3 ; Route (nationale/départ.)||RN 171||0,5 ; Halte fluviale||Port de Blain||0,3 ; Transport en commun||Ligne LILA 11, arrêt ""Place Jollan""||1 ; Transport en commun||Ligne LILA 71, arrêt ""Gravier""||0,5";;;02 40 87 17 53;;amagraph-blain@orange.fr;;;;;;;;;Musée privé;Sciences et techniques;;;;;;;;;;;;;;oui;;;;;;;oui;oui;oui;;;;Français;Français;oui;;non;||||Ouvert aux périodes d'ouverture du Château de la Groulaie.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.465949,-1.765022;Loire-Atlantique
CHATEAU DE BLAIN - MONUMENT HISTORIQUE;Site et monument historiques;Patrimoine culturel;Château et Essor Blinois;;6 allée Olivier de Clisson;;44130;;BLAIN;;44015;47.465676;-1.764869;"Gare SNCF||Gare de Nantes||38 ; Route (nationale/départ.)||RN 137||13 ; Route (nationale/départ.)||RN 171||0,2 ; Transport en commun||Ligne LILA 71, arrêt ""Le Gravier""||0,2 ; Transport en commun||Ligne LILA 11, arrêt ""Pl Jollan""||1 ; Halte fluviale||Port de Blain||0,2";;07 69 49 51 08;;;chateauessorblinois@gmail.com;https://www.chateau-essor-blinois.com;;;;;;;oui;;;;;;;Classé ou inscrit;"Médiéval ; Renaissance";Château;;;;;;Français;oui;;20;Expositions temporaires;;;oui;oui;oui;;oui;oui;;;Français;oui;;non;||||Possibilité d'accueil toute l'année pour les groupes, sur réservation||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;"||||chateauessorblinois@gmail.com;||02 40 79 07 81||chateauessorblinois@gmail.com";;;;;Chèques bancaires et postaux;47.465676,-1.764869;Loire-Atlantique
PARC DE LA GARENNE;Parc et jardin;Patrimoine culturel;;;La Garenne;;44390;;NORT-SUR-ERDRE;;44110;47.4383618;-1.5054679;Gare SNCF||Gare de Nort sur erdre ligne Nantes Chat||0,5;En extérieur ombragé;;;;accueil-nort@erdrecanalforet.fr;;;;;;;;oui;;;;;;Parc;;;;oui;;;;;;oui;;;;;;;;oui;;;;;;;oui;;;;;;;oui;;;47.4383618,-1.5054679;Loire-Atlantique
VILLAGE REMARQUABLE DE JUIGNE SUR SARTHE;Site et monument historiques;Patrimoine culturel;;;;;72300;;JUIGNE-SUR-SARTHE;;72151;47.860131;-0.2896049;"Gare SNCF||Gare de Sablé||5 ; Autoroute||Péage du Bailleul||15 ; Halte fluviale||Halte Fluviale du Port de Juigné||0";;;02 43 95 36 11;02 43 92 33 74;ats.juigne@gmail.com;http://www.juigne-sur-sarthe.fr/;;Instagram||https://www.instagram.com/explore/locations/346563515/juigne-sur-sarthe-pays-de-la-loire-france/;;;Aire de pique nique;Espace jeux;;;;;;;;;;Pays - Ville - village et quartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;47.860131,-0.2896049;Sarthe
EGLISE SAINT REMY - MAROLLES LES BRAULTS;Site et monument historiques;Patrimoine culturel;;;;;72260;;MAROLLES-LES-BRAULTS;;72189;48.252478;0.31294;"Gare SNCF||Gare Le Mans||34 ; Autoroute||Maresché||15 ; Aéroport/aérodrome||Paris-Orly||190";A l'abri;;02 43 97 40 47;;mairie.marolles@wanadoo.fr;;;;;;;;;;;;;;;Classé ou inscrit;"Renaissance ; Roman";Eglise;;;;;;;;;;;;;;;oui;;;;;;Français;oui;;oui;;;;;oui;;;48.252478,0.31294;Sarthe
EGLISE SAINT FRONT;Site et monument historiques;Patrimoine culturel;;;Place de l'Eglise;;72240;;DOMFRONT-EN-CHAMPAGNE;;72119;48.1054791;0.02608667;"Gare SNCF||Gare SNCF de Domfront en Champagne||0,5 ; Transport en commun||Arrêt Cantine Scolaire - Ligne 9 du TIS||0,3";;;02 43 20 52 11;02 43 20 85 54;mairie-domfront@wanadoo.fr;;;;;;;Espace jeux;;;;;;;;Classé ou inscrit;;Eglise;non;;;;;Français;oui;;;;;;;;;;non;;;"Français;Anglais";;oui;;;;GUYOMARD||02.43.20.52.11||mairie-domfront@wanadoo.fr;;;oui;;;48.1054791,0.02608667;Sarthe
INGRANDES SUR LOIRE, STATION VERTE;Site et monument historiques;Patrimoine culturel;;;;;49123;;INGRANDES-LE FRESNE SUR LOIRE;;49160;47.403699;-0.922395;"Gare SNCF||Gare SNCF||0,5 ; Autoroute||A11||8 ; Transport en commun||ANJOUBUS||0,5 ; Aéroport/aérodrome||Nantes Atlantique||75";;;02 41 39 20 21;;mairie.ingrandessurloire@wanadoo.fr;;;;;;"Aire de pique nique;Bar / Salon de thé;Cafétéria / Restaurant;Salle de projection";"Bibliothèque;Borne interactive;Espace jeux";;;Histoire;;;;;Classé ou inscrit;Contemporain;Pays - Ville - village et quartier;oui;;;;Station Verte;"Anglais;Français";oui;;;Expositions temporaires;;;oui;oui;oui;;oui;oui;;Français;Français;oui;;;;Mairie d'Ingrandes sur Loire||02 41 39 20 21||mairie.ingrandessurloire@wanadoo.fr;;;;;;47.403699,-0.922395;Maine-et-Loire
LE MUSÉE DES OISEAUX DE TRIGNAC;Musée et centre d'interprétation;Patrimoine culturel;;;25 rue Marcel Sembat;;44570;;TRIGNAC;;44210;47.31724;-2.1898551;Gare SNCF||Helyce - Mairie de Trignac||;;;02 40 45 80 05;;;;;;;;;;;Musée privé;Sciences naturelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;12/07/2022||31/08/2022||Ouvert du lundi au vendredi||Fermé le samedi et dimanche||||||15:00||18:00||||||15:00||18:00||||||15:00||18:00||||||15:00||18:00||||||15:00||18:00||||||||||||||||;;;;oui;;;47.31724,-2.1898551;Loire-Atlantique
VISITES GUIDÉES DE SABLÉ-SUR-SARTHE;Site et monument historiques;Patrimoine culturel;;;18, rue Léon Legludic;;72300;;SABLE-SUR-SARTHE;;72264;47.838403;-0.3300141;"Gare SNCF||Sablé sur Sarthe||1 ; Autoroute||A11 - Sortie 10||11";;06 72 83 52 00;;;thomas@visithemes.com;https://www.visithemes.com/;;Facebook||https://www.facebook.com/visithemes;;;;;;;;;;;;;"Antique ; Contemporain ; Gallo-romain ; Médiéval ; Moderne ; Renaissance ; XIXe siècle";"Château;Château fort;Ecluse;Eglise;Ensemble fortifié et remparts;Maison et bâtiment;Petit patrimoine;Place;Pont;Port;Site industriel;Pays - Ville - village et quartier;Village, site troglodytique";;;;;;Français;oui;40;1;;1h30 à 2h;1h30 à 2h;oui;oui;non;;oui;oui;;;Français;non;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Thomas Brochard||06 72 83 52 00||thomas@visithemes.com;;;non;Tarif groupe adulte||100,00||100,00||Visites sur demande uniquement - Forfait de 100€;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Chèques Vacances Connect;Espèces;Virement";47.838403,-0.3300141;Sarthe
ÉGLISE NOTRE-DAME - BRISSARTHE;Site et monument historiques;Patrimoine culturel;;;Place Robert le Fort;Brissarthe;49330;;LES HAUTS-D'ANJOU;;49080;47.7008583;-0.4491964;"Gare SNCF||Sablé||25 ; Autoroute||Durtal||20 ; Route (nationale/départ.)||Place Robert le Fort||0 ; Halte fluviale||Brissarthe||0";;06 87 11 96 59;;;sauvegardepatrimoinebrissarthois@laposte.net;http://sauvegardepatrimoinebrissarthois.blogspot.com;;Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g2266113-d3474714-Reviews-Eglise_Notre_Dame-Brissarthe_Maine_et_Loire_Pays_de_la_Loire.html;;;Aire de pique nique;;oui;;;;;;;Classé ou inscrit;"Moderne ; Renaissance ; Roman";Eglise;oui;;;;;"Anglais;Français";oui;;;;1h;1h;non;oui;oui;oui;non;oui;;;"Français;Anglais";oui;"Proposition clientèle||ITIPDL049V501RAG ; Proposition clientèle||PNAPDL049V5002PU ; Proposition clientèle||ITIPDL049V50ELM6";oui;;;;;oui;;;47.7008583,-0.4491964;Maine-et-Loire
CHÂTEAU DES DUCS DE BRETAGNE - MUSÉE D'HISTOIRE DE NANTES;Site et monument historiques;Patrimoine culturel;;;4 Place Marc Elder;;44000;;NANTES;;44109;47.2161732;-1.5493331;"Gare SNCF||||0,8 ; Aéroport/aérodrome||||10 ; Gare maritime||||2,2";;;;;;http://www.chateaunantes.fr;;;;;"Aire de pique nique;Cafétéria / Restaurant";Boutique;oui;;;;;;;;;"Château;Château fort";;;"Déficience auditive;Déficience mentale;Déficience moteur;Déficience visuelle";;"Accueil Vélo;La Loire à vélo;La Vélodyssée;Qualité Tourisme";"Anglais;Français";oui;;;;;;oui;;;;oui;;;;;oui;;oui;01/01/2021||31/12/2023||||Fermetures annuelles du site : 1er janvier, 1er mai, 1er novembre, 25 décembre||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.2161732,-1.5493331;Loire-Atlantique
JARDIN DES PLANTES OU JARDIN D'HORTICULTURE DU MANS;Parc et jardin;Patrimoine culturel;;;4 rue de Sinault;;72000;;LE MANS;;72181;48.0067632;0.20929778;"Gare SNCF||||0,8 ; Gare routière||||0,8 ; Transport en commun||||0";En extérieur ombragé;;02 43 47 45 91;;;https://www.lemans.fr/dynamique/des-idees-de-visite/les-parcs-publics/le-jardin-des-plantes/;;;;;"Bar / Salon de thé;Salle de réunion équipée";Espace jeux;;;;;Jardin protégé au titre des Monuments Historiques;"A la française;A l'anglaise";Jardin botanique;;;;non;;;;;;oui;25;10;Animation thématique spécifique;;;;;oui;;non;;;;Français;oui;Proposition clientèle||PCU878000181;oui;;;;;oui;;;48.0067632,0.20929778;Sarthe
PASSAGE POMMERAYE;Site et monument historiques;Patrimoine culturel;;;rue de la Fosse;;44000;;NANTES;;44109;47.2136201;-1.5598773;"Gare SNCF||||1351,26 ; Gare SNCF||||1347,38 ; Aéroport/aérodrome||||6943,02 ; Gare maritime||||1337,03";;;;;;http://www.passagepommeraye.fr;;;;;;;oui;;;;;;;;XIXe siècle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;47.2136201,-1.5598773;Loire-Atlantique
DOMAINE DE L'ESCURAYS;Site et monument historiques;Patrimoine culturel;;;Rue de la Châtaigneraie;;44260;;PRINQUIAU;;44137;47.3648451;-2.0066507;Route (nationale/départ.)||D 100||0,3;;;02 40 56 62 90;;;;;;;;Aire de pique nique;;oui;;;;;;;Classé ou inscrit;"Médiéval ; Renaissance";Château;non;;;;;Français;non;;;;;;;;;;;;;Français;;;;non;||||Le domaine est ouvert à la visite libre, à l'année. L'intérieur du château est ouvert  et se visite uniquement lors des Journées européennes du Patrimoine||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.3648451,-2.0066507;Loire-Atlantique
MOULIN AU JAU;Site et monument historiques;Patrimoine culturel;;;Route de la Pellerine;Breil;49490;;NOYANT-VILLAGES;;49228;47.470207;0.151463;"Route (nationale/départ.)||D141 ou D767||0 ; Autoroute||||30 ; Aéroport/aérodrome||||40 ; Gare SNCF||||35";;;02 41 82 18 64;;benemoulinjau@outlook.fr;;;;;;"Aire de pique nique;Bar / Salon de thé;Cafétéria / Restaurant";Bibliothèque;;;;;;;;Classé ou inscrit;XIXe siècle;"Moulin;Petit patrimoine";oui;;;;;;oui;30;;;;;oui;;non;;oui;;;;Français;non;;non;||||||Fermé jusqu'en 2020 inclus||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.470207,0.151463;Maine-et-Loire
EGLISE SAINT DENIS - VEZOT;Site et monument historiques;Patrimoine culturel;;;;;72600;;VEZOT;;72372;48.3525255;0.29152646;Route (nationale/départ.)||D311||2;;;02 43 33 30 63;;;;;;;;;;;;;;;;;;Médiéval;Eglise;non;;;;;;oui;;;;;;non;;oui;non;non;;;Français;Français;;;non;||||Demande des clés en mairie||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;48.3525255,0.29152646;Sarthe
CHATEAU DE BAZOUGES SUR LE LOIR;Site et monument historiques;Patrimoine culturel;;;39, rue du château;Bazouges sur le Loir;72200;;BAZOUGES CRÉ SUR LOIR;;72025;47.6878977;-0.167362;"Route (nationale/départ.)||D323||0 ; Autoroute||A11 sortie Durtal||8 ; Gare SNCF||Le Mans et 25 km de Sablé||50 ; Gare routière||La Flèche||6";"En extérieur ombragé ; En extérieur soleil ; A l'abri";;02 43 45 36 85;;;;https://www.youtube.com/watch?v=l50NsELiG_I;;;;;Boutique;oui;;;;;;;Classé ou inscrit;"Médiéval ; Renaissance ; XIXe siècle";"Château;Château fort;Moulin;Tour";oui;Uniquement dans le parc et tenus en laisse;;;;;oui;40;10;"Animation thématique spécifique ; Expositions temporaires";1;1 h;oui;oui;non;oui;oui;;;;Français;non;;non;;;;;non;;"Chèques bancaires et postaux;Chèques Vacances";47.6878977,-0.167362;Sarthe
ARBORETUM;Parc et jardin;Patrimoine culturel;;;;;72510;;SAINT-JEAN-DE-LA-MOTTE;;72291;47.7438034;0.056214;"Route (nationale/départ.)||D323||4,5 ; Autoroute||A11||32 ; Aéroport/aérodrome||LE MANS||38 ; Gare SNCF||LE MANS||38 ; Gare routière||LE MANS||38";;;02 43 45 45 66;02 43 45 78 17;mairie-de-st-jean-de-la-motte@wanadoo.fr;;;;;;"Aire de pique nique;Bar / Salon de thé;Cafétéria / Restaurant";"Bibliothèque;Espace jeux";;;;;;;;;;;oui;;;;;;oui;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.7438034,0.056214;Sarthe
