Nom de l'offre d'activité touristique;Type détaillé d'activité;Adresse partie 1: Porte/escalier;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de l'activité;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;Emplacement géographique;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Services proposés sur l'équipement de loisir;Equipements présents sur le site de loisir;Animal accepté: oui / non;Complément information animal accepté;Labels;Label tourisme handicap;Groupe accepté: oui / non;Catégorie de la prestation fournie;Type formule itinérante;Activité sportive proposée;Type activité culturelle proposée;Langues parlées à l'accueil;Langues des audio guides;Visites libres proposées aux individuels en permanence: oui / non;Durée de visite pour les individuels;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langues des panneaux d'info;Langues parlées;Complément d'info sur les visites;Visites guidées proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Durée de visite pour les groupes;Lieux de pratique de l'activité de loisirs;Commune de départ de la formule itinérante;Commune d'arrivée de la formule itinérante;Ouverture de l'offre toute l'année: oui / non;Horaires d'ouvertures;ResaDirecte;Centrale de réservation en ligne: oui / non;Nom centrale de réservation en ligne: url réservation en ligne / téléphone centrale / mail centrale;Tarifs;Tarif gratuit : oui / non;Modes de paiement acceptés;localisation;Département
LOCATION DE VÉLOS À ASSITANCE ÉLECTRIQUE;Loueur de vélos;15, place de la Lice;;;;72400;LA FERTE-BERNARD;;72132;48.18486;0.65374099;Gare SNCF||||1,5##Autoroute||||10;;;02 43 71 21 21;;accueil@tourisme-lafertebernard.fr;https://booking.myrezapp.com/fr/online/booking/minisite/6968/office-de-tourisme-de-la-fertebernard-en-perche-emeraude;;Boutique##Location/prêt de vélo;Toilettes;oui;;;;;;;;;Anglais##Espagnol##Français;;oui;;non;;;;;;;;;;;;;oui;||||||||10:00||12:30||14:30||17:30||||||||||10:00||12:30||14:30||17:30||10:00||12:30||14:30||17:30||10:00||12:30||14:30||17:30||10:00||12:30||14:30||16:00||||||||;;;;Tarif indiv. adulte||||||location à la journée;non;Chèques bancaires et postaux##Espèces;48.18486,0.65374099;Sarthe
LOCATION DE XL PADDLE;Activités sportives et ludiques;;Base de loisirs du Gué de Selle;;Gué de Selle;53600;MEZANGERS;;53153;48.2000037;-0.4321845;;;;;;basedevoile@orange.fr;;;;;non;;;;;Location de matériel;;Paddle surf;;Français;;;;;;;;;;;;;;Location de paddle;MEZANGERS;;non;11/06/2022||31/08/2022||||||||||||||||||||||||||||||||||||||||||||||10:00||12:00||14:00||18:00||10:00||12:00||14:00||18:00;;;;;non;Chèques bancaires et postaux##Espèces;48.2000037,-0.4321845;Mayenne
LOCATION ET RÉPARATION DE VELOS CYCLES LEFRANÇOIS;Loueur de vélos;;;20 rue d'Anjou;MONTJEAN-SUR-LOIRE;49570;MAUGES-SUR-LOIRE;;49244;47.3883632;-0.8624587;Gare SNCF||Gare de Champtocé-sur-Loire||3,3;;;02 41 47 00 90;Partenaire Ôsez Mauges 2022;contact@cycleslefrancois.fr;https://www.cycleslefrancois.fr/;Facebook||https://www.facebook.com/Cycles-Lefrancois-163896413637134/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;03/01/2022||31/12/2022||||||||||14:00||19:00||09:30||12:00||14:00||19:00||09:30||12:00||14:00||19:00||||||||||09:30||12:00||14:00||19:00||09:30||12:00||14:00||19:00||||||||;Cycles Lefrançois||02 41 47 00 90||contact@cycleslefrancois.fr;;;Tarif indiv. adulte||15,00||15,00||Location VTC à la journée##Tarif indiv. adulte||10,00||10,00||Location VTC à la demi-journée##Tarif indiv. enfant||8,00||10,00||Location remorque de la 1/2 journée à la  journée##Tarif indiv. adulte||20,00||20,00||Location vélo électrique à la demi- journée##Tarif indiv. adulte||30,00||30,00||Location vélo électrique à la journée##Tarif indiv. adulte||39,00||39,00||Location VTT à la journée;non;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.3883632,-0.8624587;Maine-et-Loire
LOCATION VAE;Loueur de vélos;;;;Le Bas Rance;72130;ASSE-LE-BOISNE;;72011;48.3041;0.0025469;;;06 31 61 41 51;;;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;;oui;;M. PIEDNOIR||06 31 61 41 51||;;;Tarif indiv. adulte||15,00||35,00||demi-journée : 15€ / journée : 20€ / week-end : 35€;non;;48.3041,0.0025469;Sarthe
LOCATIONS DE BATEAU ELECTRIQUE;Activités sportives et ludiques;;;Rue de la Morinière;;44710;PORT-SAINT-PERE;;44133;47.135;-1.74445;;;06 42 62 70 28;07 68 58 98 83;;escapade-nature@outlook.fr;http://www.escapade-nature.com;;;;;;;;;;;Bateau à moteur thermique;;;;;;;;;;;;;;;;;;;;24/04/2021||27/06/2021||||||||||||||||||||||||||||||||||||||||||||||10:00||18:00||||||10:00||18:00||||##01/07/2021||31/08/2021||||||10:00||18:30||||||10:00||18:30||||||10:00||18:30||||||10:00||18:30||||||10:00||18:30||||||10:00||18:30||||||10:00||18:30||||##04/09/2021||26/09/2021||||||||||||||||||||||||||||||||||||||||||||||10:00||18:00||||||10:00||18:00||||;;;;;;;47.135,-1.74445;Loire-Atlantique
LOIRE ELEC BIKE;Loueur de vélos;;;9 grande rue;La Bohalle;49250;LOIRE-AUTHION;;49307;47.40971;-0.32143;;En extérieur ombragé;06 09 72 28 34;;;couvreuxdelamare@orange.fr;https://www.loire-elec-bike.fr/;;;Toilettes;;;Accueil Vélo##La Loire à vélo;;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;;15/05/2022||02/10/2022||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces##Virement;47.40971,-0.32143;Maine-et-Loire
LOIRE LAYON EQUESTRE;Activités sportives et ludiques;La Petite Carrée;;;;49290;CHAUDEFONDS-SUR-LAYON;;49082;47.312656;-0.753641;Route (nationale/départ.)||D961||1,5##Autoroute||A87, sortie n°24||10##Aéroport/aérodrome||Angers Marcé||35##Gare SNCF||||5##Gare routière||||3;;06.83.11.14.98;02.41.78.09.79;02.41.78.09.79.;loirelayonequestre@wanadoo.fr;;;;;;;;;oui;Accompagnement;;Equitation;;Français;;;;;;;;;;;;;;;Chaudefonds sur Layon;Chaudefonds sur Layon;oui;;;;;"Tarif indiv. adulte||||||13,50 € l'heure;125 € les 10 heures;60 € la journée";non;Chèques bancaires et postaux##Chèques Vacances;47.312656,-0.753641;Maine-et-Loire
LONGE CÔTE;Base ou club nautique;;;2 bis chemin de Kerjeanne;;44350;GUERANDE;;44069;47.320184;-2.4290796;;;;06 04 16 22 81;;;https://www.coachclement.com;;;;;;;;oui;;;;;Anglais;;;;;;;;;;;;;;;;;;;;;;;;Espèces;47.320184,-2.4290796;Loire-Atlantique
LOOPING PARTY;Base de loisirs##Complexe de loisirs##Jeux pour enfants;;;18 rue de Cornen;;44510;LE POULIGUEN;;44135;47.27448;-2.44495;;;;02 40 62 27 15;;lepouliguen@loopingparty.com;http://www.loopingparty.com/le-pouliguen/;;WiFi;Parking##Restaurant##Toilettes;non;;;;;;;;;Anglais;;;;;;;;;;;;;;;;;;06/02/2022||06/03/2022||||||||||||||10:00||12:30||||||10:00||12:30||||||10:00||12:30||||||10:00||12:30||||||||||||||10:00||12:30||||##06/02/2022||06/03/2022||A partir de 15h le dimanche||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;47.27448,-2.44495;Loire-Atlantique
LUDOTHÈQUE LUDOMINO CORSEPT;;;;2 place de l'Eglise;;44560;CORSEPT;;44046;47.27769;-2.05829;;;;02 40 39 79 11;;ludotheque@csc-mireillemoyon.fr;https://www.facebook.com/LudothequePaimboeufCorsept;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.27769,-2.05829;Loire-Atlantique
MANÈGE DU BOIS DES AULNES;;;;Bois des aulnes;;44500;LA BAULE-ESCOUBLAC;;44055;47.28302;-2.39321;;;;02 51 75 75 75;;manege1900@live.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/07/2021||07/11/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.28302,-2.39321;Loire-Atlantique
MANÈGE LA RONDE JOYEUSE;Jeux pour enfants;;;Quai de Verdun;;44420;PIRIAC-SUR-MER;;44125;47.381;-2.5455465;;;06 48 55 48 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.381,-2.5455465;Loire-Atlantique
MANÈGE MAGIC MICKEY;Jeux pour enfants;;;3 Promenade du Port;;44510;LE POULIGUEN;;44135;47.27538;-2.42609;;;06 85 07 72 70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||14/10/2021||||||10:30||12:30||||||10:30||12:30||||||10:30||12:30||||||10:30||12:30||||||10:30||12:30||||||10:30||12:30||||||10:30||12:30||||##01/01/2021||14/11/2021||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||;;;;;;Chèques bancaires et postaux##Espèces;47.27538,-2.42609;Loire-Atlantique
MANÈGES DES PINS;Manège pour enfant;;;Rue Jean Foucher;;44250;SAINT-BREVIN-LES-PINS;;44154;47.24671;-2.16625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/07/2018||31/08/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Chèques bancaires et postaux##Espèces;47.24671,-2.16625;Loire-Atlantique
MAXI TRIBU;Activités sportives et ludiques;;;17 Chemin de Port Breton;;44470;CARQUEFOU;;44026;47.3017359;-1.5264906;;;;02 40 50 81 51;;info@snonantes.com;;;;;oui;Animaux acceptés sur le site mais pas en bateau;;;oui;Location de matériel;;Canoé kayak;;;;;;;;;;;;;;;;"17 chemin de Port Breton;44470 CARQUEFOU";CARQUEFOU;CARQUEFOU;non;;;;;Tarif indiv. adulte||||||Les tarifs varient en fonction du support et de la durée de location.##Tarif indiv. réduit||||||Tarifs par enfant à partir de 3 enfants et au moins 1 adulte accompagnateur.;non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces##Virement;47.3017359,-1.5264906;Loire-Atlantique
MEDIATHEQUE DES SAULNIERES;Bibliothèque-Médiathèque;;;239 Avenue Rhin et Danube;;72000;LE MANS;;72181;48.02048;0.18379;;;;02 43 14 55 20;;;http://mediatheques.lemans.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.02048,0.18379;Sarthe
MEDIATHEQUE GASTON LEROUX - LA CHAPELLE DES MARAIS;Bibliothèque-Médiathèque;;;Rue de Penlys;;44410;LA CHAPELLE-DES-MARAIS;;44030;47.44742;-2.24065;Transport en commun||LigneT3-Arrêt Chapelle des Marais centre||0,24;;;02 40 42 42 00;;mediathequecontact@lachapelledesmarais.fr;http://mediatheque.gastonleroux.opac3d.fr/search.php?action=Accueil;;Médiathèque;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;02/01/2022||31/12/2022||Ouvert le mardi, mercredi, vendredi et samedi||Fermé le dimanche, lundi et jeudi||||||||||||||15:00||18:00||10:00||13:00||15:00||18:00||||||||||||||15:00||19:00||10:00||13:00||||||||||||;;;;;;;47.44742,-2.24065;Loire-Atlantique
MEDIATHEQUE LOUISE MICHEL;Bibliothèque-Médiathèque;;;Avenue Charles de Gaulle;;72700;ALLONNES;;72003;47.97049;0.15953;;;;02 43 80 52 07;;mediatheque@ville-allonnes.fr;http://www.mediatheque-allonnes.net/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.97049,0.15953;Sarthe
MINI GOLF;Mini golf;;;Quai de Coubertin (jardin de la piscine);;53200;CHATEAU-GONTIER-SUR-MAYENNE;;53062;47.8308522;-0.7033276;;;;02 43 09 61 51;;sports@chateaugontier.fr;https://sports-chateaugontier.fr/;;;Aire de pique nique;non;;;;oui;;;;;Français;;;;;;;;;;;;;;;;;;;Piscine de Château-Gontier||02 43 09 61 51||sports@chateaugontier.fr;;;Tarif indiv. adulte||3,10||3,10||##Tarif indiv. enfant||1,55||1,55||(- de 18 ans);non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances;47.8308522,-0.7033276;Mayenne
MINI GOLF DE SILLÉ PLAGE;Activités sportives et ludiques;;;Sillé Plage;;72140;SILLE-LE-GUILLAUME;;72334;48.2117232;-0.126045;Gare SNCF||Sillé le Guillaume||5;;06 80 01 20 29;;;;https://www.cocoplagecafe.com;Facebook||https://fr-fr.facebook.com/CocoPlageCafe;;;oui;;;;oui;Location de matériel;;Mini-golf;;Anglais##Français;;;;;;;;;;;;;;"Sillé Plage;";;;non;;||06 80 01 20 29||;;;Tarif indiv. enfant||||||(-12ans);non;Cartes bancaires##Chèques bancaires et postaux;48.2117232,-0.126045;Sarthe
MINI-GOLF - EVRON;Mini golf;;Camping des loisirs;Boulevard Maréchal Juin;;53600;EVRON;;53097;48.1507295;-0.4128203;Route (nationale/départ.)||D20||0##Gare SNCF||Evron||1;En extérieur ombragé##En extérieur soleil;07 83 67 24 87;;;;;;Espace jeux;Aire de pique nique##Toilettes;oui;;;;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;non;01/04/2022||30/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;CAMPING MUNICIPAL||02 43 01 65 36||;;;Tarif indiv. adulte||2,05||||##Tarif indiv. enfant||2,05||||##Tarif indiv. réduit||1,00||||;non;Chèques bancaires et postaux##Chèques Vacances;48.1507295,-0.4128203;Mayenne
MOHAIR DE L ERDRE;;La Pommeraie;;;;44390;CASSON;;44027;47.386988;-1.558216;Route (nationale/départ.)||Route de Grandchamps des Fontaines||0,5;;;;;mohairdelerdre@gmail.com;https://www.mohairdelerdre.com/;Facebook||https://www.facebook.com/mohairdelerdre.44##Instagram||https://www.instagram.com/mohairdelerdre/?hl=fr;;;non;;;;oui;;;;;Anglais##Français;;non;30 minutes;oui;oui;Français;Français##Anglais;"Toute visite se fait sur rendez-vous. Le prix est de 2 euros par personne.;Les produits en mohair sont disponibles sur rdv.";non;oui;oui;oui;30 minutes;;;;oui;;Gwenaëlle Paumier||06 66 41 69 99||mohairdelerdre@gmail.com;;;;;Cartes bancaires##Chèques bancaires et postaux##Espèces##Virement;47.386988,-1.558216;Loire-Atlantique
MOHAIR DE L'ERDRE;Activités culturelles;;;Lieu-dit La Pommeraie;;44390;CASSON;;44027;47.3822665;-1.5779923;;;;;;mohairdelerdre@gmail.com;https://www.mohairdelerdre.com/;Facebook||https://www.facebook.com/mohairdelerdre.44##Instagram||https://www.instagram.com/mohairdelerdre/?hl=fr;;;;;;;;Accompagnement;;;Faune flore;;;;;;;;;;;;;;;CASSON;CASSON;CASSON;oui;;;;;;;;47.3822665,-1.5779923;Loire-Atlantique
MONTJEAN CINÉMA;Cinéma;;;Rue de l'Aumônerie;MONTJEAN-SUR-LOIRE;49570;MAUGES-SUR-LOIRE;;49244;47.3889521;-0.8622152;;;;;;;http://www.montjean-cinema.fr/;;;Salle de projection##Toilettes;non;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;Tarif indiv. réduit||||||Carte Cézam, étudiant sur présentation de la carte##Tarif indiv. enfant||||||Enfant de moins de 16 ans;non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;47.3889521,-0.8622152;Maine-et-Loire
MOSQUITO COAST FACTORY;Activités culturelles;;ZAC Porte Estuaire;5, rue de la Tamise;;44750;CAMPBON;;44025;47.3781358;-1.9384082;;;;02 28 01 07 49;;mosquito.coast.factory@gmail.com;http://www.mosquitocoastfactory.com/;;;;;;;;;Accompagnement;;;Peintures arts graphiques;;;;;;;;;;;;;;;;;;;;;;;;;;47.3781358,-1.9384082;Loire-Atlantique
NANTES PARAMOTEUR;Aérodrome;;;Le Frazier;;44810;HERIC;;44073;47.3856197;-1.6372272;;;06 03 93 71 48;;;nantesparamoteur@gmail.com;https://www.nantesparamoteur.com/;Facebook||https://www.facebook.com/Nantesparamoteur/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.3856197,-1.6372272;Loire-Atlantique
NATUR'O LOISIRS - LOCATION DE STAND-UP PADDLE À POUANCÉ;Activités sportives et ludiques;;;23 rue des étangs;Pouancé;49420;OMBRÉE D'ANJOU;;49248;47.719309;-0.672458;Route (nationale/départ.)||Axe Angers/Rennes D775||0,8##Route (nationale/départ.)||Axe Laval/châteaubriand||0,6##Itinéraire de randonnée||Circuit des 3 étangs de Pouancé||0,1;En extérieur soleil;07 82 02 04 16;02 41 61 98 79;;contact@naturoloisirs.com;https://anjousportnature.com/nos-activites/paddle/;Facebook||https://www.facebook.com/pg/NaturOLoisirs/photos/?ref=page_internal##Instagram||https://www.instagram.com/anjousportnature/;;;non;Animaux non autorisés sur les embarcations;;;oui;Location de matériel;;Stand-up-paddle-board;;Anglais##Français;;;;;;;;;;;;;;Étang Saint-Aubin d'Ombrée d'Anjou (Pouancé);OMBRÉE D'ANJOU (Pouancé);OMBRÉE D'ANJOU (Pouancé);non;07/05/2022||03/06/2022||Base nautique ouverte tous les weekends et jours fériés de 14h à 19h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##04/06/2022||06/07/2022||Base de loisirs (Aquaparc et base nautique) ouverte tous les mercredis et weekends de 14h00 à 19h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##07/07/2022||31/08/2022||Base de loisirs (Aquaparc et base nautique) ouverte tous les jours de 14h00 à 19h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/09/2022||11/09/2022||Base de loisirs (Aquaparc et base nautique) ouverte le 3-4 /09 de 14h00 à 19h00 - Base nautique ouverte le 10-11/09 de 14h à 19h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##12/09/2022||30/04/2023||||Fermeture annuelle mais les bureaux restent ouverts et joignables au 02.41.95.14.32||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||07 82 02 04 16||contact@naturoloisirs.com;oui;||https://anjousportnature.qweekle.com/shop/natur-o-loisirs/multi/stand-up-paddle?lang=fr||||||;"Tarif indiv. adulte||7,00||14,00||A partir de 6 ans - savoir nager - Tarif de  paddle individuel: 7€/30min - 9€/1h - 11€/1h30 - 14€/2h,;##Tarif groupe adulte||39,00||78,00||A partir de 6 ans - savoir nager - Tarif de  paddle Géant (6-8 pers max) : 39€/30min - 52€/1h - 68€/1h30 - 78€/2h;";non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;47.719309,-0.672458;Maine-et-Loire
NATUR'O LOISIRS - LOCATION DE TROTTINETTES ELECTRIQUES;Activités sportives et ludiques;;;23 rue des étangs;Pouancé;49420;OMBREE D'ANJOU;;49331;47.7483473;-1.179998;Route (nationale/départ.)||Axe Angers/Rennes D775||0,8##Route (nationale/départ.)||Axe Laval/ Châteaubriand D771||0,6##Itinéraire de randonnée||Circuit des 3 étangs de Pouancé||0,1;En extérieur ombragé##En extérieur soleil;0782020416;;;contact@naturoloisirs.com;http://anjousportnature.com/;Facebook||https://www.facebook.com/AnjouSportNature/##Instagram||https://www.instagram.com/anjousportnature/;;;non;;;;oui;Pratique libre;;Trottinette électrique;;;;;;;;;;;;;;;;"Etang Saint-Aubin d'Ombrée d'Anjou (Pouancé);";OMBREE D'ANJOU;OMBREE D'ANJOU;non;07/05/2022||03/06/2022||Base nautique ouverte tous les weekends et jours fériés de 14h à 19h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##04/06/2022||06/07/2022||Base de loisirs (Aquaparc et base nautique) ouverte tous les mercredis et weekends de 14h00 à 19h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##07/07/2022||31/08/2022||Base de loisirs (Aquaparc et base nautique) ouverte tous les jours de 14h00 à 19h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/09/2022||11/09/2022||Base de loisirs (Aquaparc et base nautique) ouverte le 3-4 /09 de 14h00 à 19h00 - Base nautique ouverte le 10-11/09 de 14h à 19h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##12/09/2022||30/04/2023||||Fermeture annuelle mais les bureaux restent ouverts et joignables au 02.41.95.14.32||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Segré Canoë||07 82 02 04 16||contact@naturoloisirs.com;;;"Formule famille||10,00||15,00||Tarif pour la location d'une trottinette électrique : 10€/1h - 15€/2h;";non;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.7483473,-1.179998;Maine-et-Loire
NATUR’O LOISIRS - BASE DE LOISIRS;Aire de pique-nique##Base de loisirs##Base ou club nautique##Jeux pour enfants##Lac et étang de pêche##Loueur de gyropodes##Loueur de vélos##Parc à thèmes##Plage surveillée;;Étang de Saint-Aubin;23 rue des étangs;Pouancé;49420;OMBRÉE D'ANJOU;;49248;47.7483605;-1.1800389;Route (nationale/départ.)||Axe Angers/Rennes D775, sortie Pouancé ||0,8##Route (nationale/départ.)||Axe Laval /Châteaubriand par la D771||0,6##Itinéraire de randonnée||Circuit des 3 étangs de Pouancé||0,1;En extérieur ombragé##En extérieur soleil;07 82 02 04 16;02 41 61 98 79;;contact@naturoloisirs.com;https://anjousportnature.com/;Facebook||https://www.facebook.com/NaturOLoisirs/##Instagram||https://www.instagram.com/anjousportnature/;Espace jeux##Location/prêt de vélo;Aire de pique nique##Bar##Défibrillateur##Parking##Poubelles##Toilettes;non;;;;oui;;;;;Anglais##Espagnol##Français;;oui;;non;non;Français##Anglais;Français##Anglais;;non;non;non;non;;;;;non;06/09/2021||06/05/2022||||Fermeture annuelle mais les bureaux restent ouverts et joignables au 02.41.95.14.32||||||||||||||||||||||||||||||||||||||||||||||||||||||||##07/05/2022||03/06/2022||Base nautique ouverte tous les weekends et jours fériés de 14h à 19h||||||||||||||||||||||||14:00||19:00||||||||||||||||||||||14:00||19:00||||||14:00||19:00##04/06/2022||06/07/2022||Base de loisirs (Aquaparc et base nautique) ouverte tous les mercredis et weekends de 14h00 à 19h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##07/07/2022||31/08/2022||Base de loisirs (Aquaparc et base nautique) ouverte tous les jours de 14h00 à 19h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/09/2022||11/09/2022||Base de loisirs (Aquaparc et base nautique) ouverte le 3-4 /09 de 14h00 à 19h00 - Base nautique ouverte le 10-11/09 de 14h à 19h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##12/09/2022||30/04/2023||||Fermeture annuelle mais les bureaux restent ouverts et joignables au 02.41.95.14.32||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 41 61 98 79||contact@naturoloisirs.com##||07 82 02 04 16||contact@naturoloisirs.com;oui;||https://anjousportnature.qweekle.com/shop/natur-o-loisirs?lang=fr||||||;"Tarif indiv. enfant||5,00||38,00||Tarifs différents selon l'activité ;##Tarif indiv. adulte||6,00||38,00||Tarifs différents selon l'activité ;";non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces##Virement;47.7483605,-1.1800389;Maine-et-Loire
NAUTIC' ERDRE & OCÉAN;Activités sportives et ludiques;;;quai Bliesransbach;;44240;SUCE-SUR-ERDRE;;44201;47.3390364;-1.5270071;;;06 29 11 65 30;;;nautic.erdre.ocean@gmail.com;http://www.nautic-erdre-ocean.fr;Facebook||https://www.facebook.com/NauticErdreOcean/##Instagram||https://www.instagram.com/nauticerdreocean/;;;non;;;;oui;Accompagnement;;Bateau à voile;;Anglais##Espagnol;;;;;;;;;;;;;;"L'Erdre...;Des plaines de Mazerolles en passant par le petit port Sucé sur Erdre, jusqu'à Nantes. Plusieurs points de départs possible";SUCE-SUR-ERDRE;SUCE-SUR-ERDRE;non;;Nautic'Erdre & Océan||06 29 11 65 30||contact@nautic-erdre-ocean.fr;;;;non;Chèques bancaires et postaux##Espèces##Virement;47.3390364,-1.5270071;Loire-Atlantique
OBSERVATOIRE ASTRONOMIQUE DE SAINT-SATURNIN;Observatoire;;;Chemin de la queue de Bruyère;SAINT-SATURNIN-SUR-LOIRE;49320;BRISSAC LOIRE AUBANCE;;49050;47.3866;-0.41266;;;;02 41 44 08 95;;olivier.raynal.aaa@orange.fr;http://www.aaanjou.fr;Facebook||https://www.facebook.com/groups/249016498463941/?fref=ts;;;non;;;;oui;;;;;Français;;oui;2h30;oui;oui;;Français;"En juillet et Août:observation publique à l'observatoire à partir du crépuscule.Le reste de l'année: observation 2 vendredis par mois (consulter nôtre ""calendrier"" sur le site aaanjou.fr) ou nous appeler par téléphone ou mail.;";oui;oui;oui;oui;;;;;oui;;GAUTIER||02 41 44 08 95||;;;;oui;Chèques bancaires et postaux;47.3866,-0.41266;Maine-et-Loire
OBSERVATOIRE M53 MAYENNE ASTRONOMIE;Observatoire;;;Impasse Bourgeaiserie;;53170;MAISONCELLES-DU-MAINE;;53143;47.963139;-0.650827;Route (nationale/départ.)||N162||5##Autoroute||A81||19##Gare SNCF||Laval||15##Gare routière||Laval||15##Gare SNCF||GARE DE LAVAL||10##Autoroute||AUTOROUTE A81||15;;;02 43 64 23 64;;m53.astro@gmail.com;http://www.sejoursastronature.fr/;Facebook||https://www.facebook.com/M53mayenneastronomie;Bibliothèque##Boutique;Aire de pique nique##Salle de projection##Salle de réunion équipée##Toilettes;oui;;;;oui;;;;;;;non;1h30;non;oui;Français;Français;;non;oui;non;oui;2h;;;;oui;;Maria GRIGY||02 43 64 23 64||contact@sejoursastronature.fr;;;;;Chèques bancaires et postaux##Chèques Vacances;47.963139,-0.650827;Mayenne
OREVD'ART CRÉATION ATTRAPE-RÊVE;Activités culturelles;RAME;;;;53600;SAINTE-GEMMES-LE-ROBERT;;53218;48.196145;-0.374416;Gare SNCF||Evron||6;A l'abri;06 84 40 80 29;;;orevdart@gmail.com;https://www.orevdart.com/;;;;;;;;;Stage d’initiation;;;;Français;;;;;;;;;;;;;;;Sainte-Gemmes le Robert;Sainte-Gemmes le Robert;non;02/01/2022||31/12/2022||Tous les mercredis de 10h à 11h30||||||||||||||||||||10:00||11:30||||||||||||||||||||||||||||||||||||;;oui;||https://www.orevdart.com/bookings-checkout/atelier-faire-un-attrape-r%C3%AAve-1h30?referral=service_list_widget||||06 84 40 80 29||orevdart@gmail.com;"Tarif indiv. adulte||||||Atelier faire un attrape-rêve (1h30);A partir de 8 ans, atelier pour parent et enfant.";;Cartes bancaires##Chèques bancaires et postaux##Espèces;48.196145,-0.374416;Mayenne
ORIZONS;;;;8 RUE BASSE DU ROCHER;;49000;ANGERS;;49007;47.83356;-0.70597;;;06 64 97 66 20;;;contact@orizons.org;https://orizons.org/;;;;;;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;;47.83356,-0.70597;Mayenne
