NOM_DE_LA_FeTE_OU_MANIFESTATION;CATeGORIE_DE_LA_FeTE_OU_MANIFESTATION;ADRESSE1;ADRESSE1SUITE;Adresse_partie2;Adresse_partie3;CODE_POSTAL;COMMUNE_DE_LA_FÃŠTE_OU_MANIFESTATION;BUREAU_DISTRIBUTEUR_ADRESSE_POSTALE;CEDEX;CODE_INSEE_DE_LA_COMMUNE;LATITUDE;LONGITUDE;POINT_ACCÃˆS_NOM_DISTANCE_EN_KM;N_TeLePHONE_FIXE;N_TeLePHONE_MOBILE;N_FAX;ADRESSE_EMAIL;URL_WEB;TYPE_DE_PLATEFORME_URL;URL_POUR_ACCeDER_Ã€_LA_VIDeO;PUBLIC_CONCERNe_PAR_OFFRE;WIDGET_TRIPADVISOR;CODE_EMBED_POUR_INTeGRER_UNE_VIDeO;PeRIODICITe_DE_LA_MANIFESTATION;PReCISION_SUR_LA_PeRIODICITe;LABEL_TOURISME_HANDICAP;DUReE_DE_VISITE_POUR_LES_INDIVIDUELS;VISITES_LIBRES_PROPOSeES_AUX_INDIVIDUELS_EN_PERMANENCE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_INDIVIDUELS_SUR_DEMANDE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_INDIVIDUELS_EN_PERMANENCE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_GROUPES_SUR_DEMANDE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_GROUPES_EN_PERMANENCE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_GROUPES_EN_PERMANENCE_OUI_NON2;DUReE_DE_VISITE_POUR_LES_GROUPES;VISITES_PeDAGOGIQUES_PROPOSeES_AUX_GROUPES_EN_PERMANENCE_OUI_NON;LANGUES_PARLeES;LANGUES_DES_AUDIO_GUIDES;HORAIRES_OUVERTURES;TARIFS_ANNeE_EN_COURS_PROPOSeS;TARIF_GRATUIT;MOYENS_DE_ReSERVATION_DIRECTE;CENTRALE_DE_ReSERVATION_EN_LIGNE;MOYENS_DE_ReSERVATION_EN_LIGNE;MODES_DE_PAIEMENT_ACCEPTeS;LOCALISATION;DEPARTEMENT
MISÉRABLES;Théâtre;;;92 Avenue Jean Jaurès;;72500;MONTVAL-SUR-LOIR;;;72071;47.68871;0.41512;;02 43 79 47 97;;;lacastelorienne@montvalsurloir.fr;https://www.facebook.com/chateauduloirmaville/;Facebook||https://www.facebook.com/chateauduloirmaville/;;;;;Ponctuel;;;;;;;;;;;;;;14/05/2022||14/05/2022||16:30||01:05||16:00||;Tarif indiv. adulte||4,00||||,Tarif indiv. enfant||3,00||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.68871,0.41512;Sarthe
MJC PIXEL EVENT #7;Fêtes populaires;;Maison de quartier Georges Moustaki;211 Rue des Maillets;;72000;Le Mans;;;72181;48.0170455;0.2158664;Route (nationale/départ.)||211 rue des Maillets||,Transport en commun||Tramway T2 - Maillets Zamenhof||;09 81 41 49 32;;;;;;;;;;;;;;;;;;;;;;;;07/05/2022||08/05/2022||||||||,07/05/2022||07/05/2022||14:00||22:00||||,08/05/2022||08/05/2022||12:00||18:00||||;Tarif indiv. adulte||2,00||3,00||Journée,Tarif indiv. adulte||3,00||5,00||Week-end,Tarif indiv. enfant||||||Gratuit - de 7 ans;non;;;;Espèces;48.0170455,0.2158664;Sarthe
MOTS POUR MÔMES;Contes et lectures;;Bibliothèque des Vergers;49 Rue Thore;;72000;LE MANS;;;72181;47.99893;0.20617;;;;;;;;;;;;;;;;;;;;;;;;;;04/05/2022||04/05/2022||10:30||||||;;oui;;;;;47.99893,0.20617;Sarthe
NOËL MAGIQUE;Animations de Noël;;;;;72400;LA FERTE-BERNARD;;;72132;48.18685;0.65461;;02 43 60 72 72;;;;;;;;;;;;;;;;;;;;;;;;17/12/2022||18/12/2022||||||||;;;;;;;48.18685,0.65461;Sarthe
PORTE OUVERTE DU CHENIL DU RALLYE DE PERSEIGNE;Visites et sorties à thèmes;;;;;72600;VILLAINES-LA-CARELLE;;;72374;48.37684;0.30053;;;;;;;;;;;;;;;;;;;;;;;;;;07/05/2022||07/05/2022||10:00||19:00||||;;oui;;;;;48.37684,0.30053;Sarthe
PROJET LOGING 3;Stages-Atelier-Jeux;Bibliothèque;;;;72460;SAVIGNE-L'EVEQUE;;;72329;48.076935;0.300514;;02 43 27 25 12;;;;;;;;;;;;;;;;;;;;;;;;10/05/2022||21/06/2022||||||||;;;;;;;48.076935,0.300514;Sarthe
RANDONNÉE;Randonnée;Salle Paul Richard;;;;72450;MONTFORT-LE-GESNOIS;;;72241;48.0482299;0.419952;;;06.71.18.68.07;;;;;;;;;;;;;;;;;;;;;;;09/06/2022||09/06/2022||||||||;;;;;;;48.0482299,0.419952;Sarthe
RANDONNÉE KAYAK;Manifestation sportive;Base de loisirs et Huisne;;;;72400;LA FERTE-BERNARD;;;72132;48.1805864;0.64897179;;06 27 02 23 82;;;;;;;;;;;;;;;;;;;;;;;;25/06/2022||25/06/2022||14:00||||||;;;;;;;48.1805864,0.64897179;Sarthe
ROCK THE BALLET X;Spectacle;;Palais des Congrès;rue d'Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;20/05/2022||20/05/2022||20:30||||||;;non;;oui;||https://www.lemans-evenements.fr/evenement/rock-the-ballet-x-10eme-anniversaire/||||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;48.0007657,0.19202859;Sarthe
RÉVEILLON;Fêtes populaires;Salle Michel Berger;;;;72460;SAVIGNE-L'EVEQUE;;;72329;48.0742109;0.303046;;02 43 20 87 90;;;;;;;;;;;;;;;;;;;;;;;;31/12/2022||31/12/2022||||||||;;;;;;;48.0742109,0.303046;Sarthe
SANDRINE SARROCHE;Spectacle;;;2 Place de la Gironde;Espace culturel Henri Salvador;72190;COULAINES;;;72095;48.02499;0.20536;;;;;;https://www.coulaines.fr/agenda/humour-l-evenement-sandrine-sarroche/;;;;;;;;;;;;;;;;;;;;12/05/2022||12/05/2022||20:30||||||;Tarif indiv. adulte||27,00||||Tarif plein,Tarif indiv. réduit||18,00||||,Tarif groupe adulte||22,00||||;;;;;Cartes bancaires;48.02499,0.20536;Sarthe
SELLIG BEST OF;Spectacle;;Palais des Congrès et de la Culture;Rue d'Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;14/05/2022||14/05/2022||20:30||||||;;non;;oui;||https://www.lemans-evenements.fr/evenement/sellig-best-of/||||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;48.0007657,0.19202859;Sarthe
SOIRÉE RETOUR VERS LE FUNK;Concert;;Bar du Lac;2 Rue de Villaines la Juhel;;72130;SAINT-PAUL-LE-GAULTIER;;;72309;48.3209;-0.10701;;;06 63 86 01 95;;bardulac72@gmail.com;;Facebook||https://www.facebook.com/bardulac72;;;;;;;;;;;;;;;;;;;07/05/2022||07/05/2022||19:00||||||;;oui;;;;;48.3209,-0.10701;Sarthe
SOIRÉE LOUP-GAROU DE THIERCELLIEUX;Stages-Atelier-Jeux;Centre Maurice Loiseau;;;;72400;LA FERTE-BERNARD;;;72132;48.1836837;0.64840584;;06 77 76 92 84;;;;;;;;;;;;;;;;;;;;;;;;14/10/2022||14/10/2022||20:00||||||;;;;;;;48.1836837,0.64840584;Sarthe
SORTIE NATURE :  NATURE ENTRE LES PIERRES;Sortie nature / environnement;Place de l'église;;;;72390;DOLLON;;;72118;48.03857;0.5867;;02 43 60 76 89;;;contact@tourismevba.fr;;;;;;;;;;;;;;;;;;;;;02/10/2022||02/10/2022||14:30||||||;Tarif indiv. adulte||6,00||||,Tarif indiv. enfant||2,00||||Gratuit pour les adhérents de la SEPENES;non;;;;Chèques bancaires et postaux,Espèces;48.03857,0.5867;Sarthe
SORTIE ONF BERCÉ, FACE B;Visites et sorties à thèmes;Carnuta,;Maison de l'Homme et de la forêt;2 Rue du bourg ancien;;72500;JUPILLES;;;72153;47.7904938;0.41337164;;02 43 38 10 31;;;accueil.carnuta@loirluceberce.fr;http://www.carnuta.fr;;;;;;;;;;;;;;;oui;;;Français;;21/05/2022||21/05/2022||17:00||19:00||||;;oui;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.7904938,0.41337164;Sarthe
SYPATSO’’’ RANDONNE;Randonnée;Parc Lucienne Paillard, à Cherré;;;;72400;CHERRE-AU;;;72132;48.1737623;0.6579109;;06 03 90 62 99;;;;;;;;;;;;;;;;;;;;;;;;30/04/2022||30/04/2022||14:30||||||;;;;;;;48.1737623,0.6579109;Sarthe
THEATRE;Théâtre;;Salle La pléiade;Place Jean Dufournier;;72310;BESSE-SUR-BRAYE;;;72035;47.8331205;0.75297233;;02 43 35 39 55;;;mpt.besse@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;19/11/2022||19/11/2022||20:30||||||;;non;;;;Chèques bancaires et postaux,Espèces;47.8331205,0.75297233;Sarthe
THÉÂTRE  L'AVARE » DE MOLIÈRE AU MANOIR DE LA COUR;Théâtre;;;6 Rue du Temple;;72430;ASNIERES-SUR-VEGRE;;;72010;47.88864;-0.23576;;02 43 95 17 12;;;contact@lemanoirdelacour.fr;http://www.lemanoirdelacour.fr/spectacles-2021/;Facebook||https://www.facebook.com/manoirdelacour,Instagram||https://www.instagram.com/manoir_de_la_cour/;;;;;Ponctuel;;;;;;;;;;;;Français;;06/08/2022||06/08/2022||20:15||||||;Tarif indiv. adulte||8,00||10,00||,Tarif indiv. enfant||0,00||6,00||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.88864,-0.23576;Sarthe
TRAIL : SUR LES TRACES DE GARGANTUA;Manifestation sportive;Stade Michel Dumont;;;;72450;LOMBRON;;;72165;48.080236;0.416376;;;;;;;;;;;;;;;;;;;;;;;;;;05/06/2022||05/06/2022||10:00||||||;;;;;;;48.080236,0.416376;Sarthe
TRIATHLON;Manifestation sportive;Base de Loisirs et Stade Municipal;;;;72400;LA FERTE-BERNARD;;;72132;48.1824145;0.6494344;;06 45 11 81 22;;;;https://www.la-ferte-bernard-triathlon.com/;;;;;;;;;;;;;;;;;;;;20/08/2022||21/08/2022||||||||;;;;;;;48.1824145,0.6494344;Sarthe
TRIATHLON;Manifestation sportive;;Plan d'eau;;;72120;SAINT-CALAIS;72120;;72269;47.9326732;0.7466961;;02 43 63 00 54;;;anille.braye@wanadoo.fr;;;;;;;Annuel;"Samedi à 14h30 ;Dimanche de 10h à 17h";;;;;;;;;;;;;18/06/2022||19/06/2022||||||||;;;;;;;47.9326732,0.7466961;Sarthe
VIDE GRENIER;Brocantes & vide-greniers;Parking de la salle des fêtes;;;;72390;SEMUR-EN-VALLON;;;72333;48.0242971;0.65332272;;02 43 93 26 04;;;;;;;;;;;;;;;;;;;;;;;;02/10/2022||02/10/2022||06:00||||||;;;;;;;48.0242971,0.65332272;Sarthe
VISITE DU BOURG;Conférence;place de l'église;;;;72110;TORCE-EN-VALLEE;;;72359;48.1344;0.39787;;02 43 60 72 77;;;inventaire-perchesarthois@orange.fr;;;;;;;;;;;;;;;;;;;;;03/07/2022||03/07/2022||15:00||||||;;oui;Pays du Perche Sarthois||02 43 60 72 77||perche-sarthois@orange.fr;;;;48.1344,0.39787;Sarthe
VISITE GUIDEE DE PARCE-SUR-SARTHE;Visites et sorties à thèmes;;;Place de la Republique;;72300;PARCE-SUR-SARTHE;;;72228;47.843386;-0.198659;;;;;;;;;;;;Ponctuel;;;;oui;;;oui;;;1h30;;Français;;10/07/2022||10/07/2022||16:00||17:30||||,24/07/2022||24/07/2022||16:00||17:30||||,07/08/2022||07/08/2022||16:00||17:30||||,21/08/2022||21/08/2022||16:00||17:30||||,04/09/2022||04/09/2022||16:00||17:30||||;Tarif indiv. adulte||4,00||||au-dessus de 12 ans;non;;;;Chèques bancaires et postaux,Espèces;47.843386,-0.198659;Sarthe
VISITE GUIDÉE ENTRE HISTOIRE ET GOURMANDISE;Visites et sorties à thèmes;;Devant l'Église;Place de la République;;72130;FRESNAY-SUR-SARTHE;;;72138;48.2804535;0.02128994;;02 43 33 28 04;;;contact@tourisme-alpesmancelles.fr;;Facebook||https://www.facebook.com/Fresnaysarthe,Instagram||https://www.instagram.com/fresnaysursarthe/;;;;;Ponctuel;;;;;;oui;;;oui;;;Français;;04/08/2022||04/08/2022||14:30||||||;;oui;;;;;48.2804535,0.02128994;Sarthe
VISITE GUIDÉE ENTRE HISTOIRE ET GOURMANDISE;Visites et sorties à thèmes;;Devant l'Église;Place de la République;;72130;FRESNAY-SUR-SARTHE;;;72138;48.2804535;0.02128994;;02 43 33 28 04;;;contact@tourisme-alpesmancelles.fr;;Facebook||https://www.facebook.com/Fresnaysarthe,Instagram||https://www.instagram.com/fresnaysursarthe/;;;;;Ponctuel;;;;;;oui;;;oui;;;Français;;18/08/2022||18/08/2022||14:30||||||;;oui;;;;;48.2804535,0.02128994;Sarthe
VISITE GUIDÉE ENTRE HISTOIRE ET GOURMANDISE;Visites et sorties à thèmes;;Devant l'Église;Place de la République;;72130;FRESNAY-SUR-SARTHE;;;72138;48.2804535;0.02128994;;02 43 33 28 04;;;contact@tourisme-alpesmancelles.fr;;Facebook||https://www.facebook.com/Fresnaysarthe,Instagram||https://www.instagram.com/fresnaysursarthe/;;;;;Ponctuel;;;;;;oui;;;oui;;;Français;;21/07/2022||21/07/2022||14:30||||||;;oui;;;;;48.2804535,0.02128994;Sarthe
VISITE GUIDÉE DU THÉÂTRE DE LA HALLE AU BLÉ - LA FLÈCHE;Visites et sorties à thèmes;place du 8 mai 1945;;;;72200;LA FLECHE;;;72154;47.7002685;-0.0726128;;;06 72 83 52 00;;thomas@visithemes.com;https://www.visithemes.com;;;;;;Ponctuel;"VISITES GUIDÉES PROGRAMMÉES :;• A date et heure programmées à l’avance;• Consultez la programmation sur : www.visithemes.com/agenda;• Réservez au 06 72 83 52 00. ;;;VISITES GUIDÉES PRIVÉES SUR DEMANDE :;• S'il n'y a pas de visite programmée - ou si vous préférez cette formule - choisissez la date et l’heure qui vous conviennent (sous réserve de disponibilité);• Vous bénéficiez d'une visite privée avec plus de souplesse sur le contenu et la durée;• Contactez-moi pour fixer une date;";;1h;non;oui;oui;oui;non;oui;1h;oui;Français;;12/06/2022||12/06/2022||17:00||18:00||||;"Tarif indiv. adulte||6,00||||Visites programmées : Adultes : 6 €;Enfants (7-17 ans) ou carte Cezam : 4 €;Gratuit pour les moins de 7 ans;;Visites sur demande : nous consulter ,Tarif indiv. enfant||4,00||||Enfants (7-17 ans) ou carte Cezam : 4 €;Gratuit pour les moins de 7 ans,Tarif indiv. réduit||10,00||||Visite couplée théâtre + moulin à glace de la Bruère (adulte),Tarif indiv. réduit||6,00||||Visite couplée théâtre + moulin à glace de la Bruère (7-17 ans)";non;Thomas Brochard||06 72 83 52 00||thomas@visithemes.com;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces;47.7002685,-0.0726128;Sarthe
VISITE NOCTURNE À LA LUEUR DES LAMPES TORCHES;Visites et sorties à thèmes;;Devant la Porte du Château;Place de Bassum;;72130;FRESNAY-SUR-SARTHE;;;72138;48.281607;0.01880214;;02 43 33 28 04;;;contact@tourisme-alpesmancelles.fr;;Facebook||https://www.facebook.com/Fresnaysarthe,Instagram||https://www.instagram.com/fresnaysursarthe/;;;;;Ponctuel;;;;;;oui;;;oui;;;Français;;12/08/2022||12/08/2022||21:30||||||;;oui;;;;;48.281607,0.01880214;Sarthe
VISITE TACTILE : DES ANIMAUX À TOUCHER !;Visites et sorties à thèmes;;Musée Vert;204 Avenue Jean Jaurès;;72100;LE MANS;;;72181;47.98687;0.20842;;02 43 47 39 94;;;musees@lemans.fr;www.lemans.fr/musees;;;;;;Ponctuel;;;;;;;;;;;;;;15/06/2022||15/06/2022||14:30||||||;Tarif indiv. adulte||6,00||6,00||;non;;;;;47.98687,0.20842;Sarthe
VISITE THÉÂTRALISÉE SUR LES PAS DE LA VELUE;Visites et sorties à thèmes;;;3 Place du Général Leclerc;;72160;TUFFE VAL DE LA CHERONNE;;;72363;48.11512;0.5165;;02 43 71 21 21;;;;www.tourisme-lafertebernard.fr;;;;;;;;;;;;;;;;;;;;05/08/2022||05/08/2022||20:00||21:30||||;;;Pays du Perche Sarthois||02 43 60 72 77||;;;;48.11512,0.5165;Sarthe
VISITE-FLASH;Visites et sorties à thèmes;place de la mairie;;;;72320;VIBRAYE;;;72373;48.0647601;0.72733009;;02 43 60 72 77;;;;;;;;;;;;;;;;;;;;;;;;08/07/2022||08/07/2022||09:00||12:00||||;;non;Pays du Perche Sarthois||02 43 60 72 77||perche-sarthois@orange.fr;;;;48.0647601,0.72733009;Sarthe
VISITE-FLASH DU QUARTIER SAINT-ANTOINE;Visites et sorties à thèmes;Quartier Saint-Antoine;;;;72400;LA FERTE-BERNARD;;;72132;48.185934;0.655979;;02 43 60 72 77;;;perche-sarthois@orange.fr;;;;;;;;;;;;;;;;;;;;;02/07/2022||02/07/2022||09:30||12:00||||;;;Pays du Perche Sarthois||02 43 60 72 77||perche-sarthois@orange.fr;;;;48.185934,0.655979;Sarthe
BARBECUE;Feux d'artifice;Salle polyvalente;;;;72390;DOLLON;;;72118;48.0388384;0.59179749;;;;;mairie.dollon@orange.fr;;;;;;;Annuel;;;;;;;;;;;;;;13/07/2022||13/07/2022||19:00||||||;;;;;;;48.0388384,0.59179749;Sarthe
BOESSE EN FETES;Visites et sorties à thèmes;;;;;72400;BOESSE-LE-SEC;;;72038;48.13519;0.56331;;06 76 32 56 67;;;;;;;;;;;;;;;;;;;;;;;;11/06/2022||11/06/2022||||||||;;;;;;;48.13519,0.56331;Sarthe
BOUCAN ELECTRIQUE;Concert;Jardin du Prieuré;;;;72390;LAVARE;;;72158;48.0539225;0.64586312;;;;;leboucandesarts@ettrucs.com;;;;;;;;;;;;;;;;;;;;;25/06/2022||25/06/2022||19:00||||||;;;;;;;48.0539225,0.64586312;Sarthe
BOUM;Fêtes populaires;Salle Saint-Jean;;;;72450;MONTFORT-LE-GESNOIS;;;72241;48.0482299;0.419952;;;07.67.27.25.34;;;;;;;;;;;;;;;;;;;;;;;25/06/2022||25/06/2022||||||||;;;;;;;48.0482299,0.419952;Sarthe
BOURSE AUX JOUETS;Brocantes & vide-greniers;salle des fêtes;;;;72390;LE LUART;;;72172;48.069938;0.592255;;02 43 60 03 41;;;;;;;;;;;;;;;;;;;;;;;;20/11/2022||20/11/2022||||||||;;;;;;;48.069938,0.592255;Sarthe
BRIC À BRAC DE L'ASPG;Brocantes & vide-greniers;;;Rue Gambetta;;72000;LE MANS;;;72181;48.0074547;0.1888225;;;;;;https://www.associationsaintpavingambetta.com/event-details/bric-a-brac-1er-mai-2022;;;;;;Annuel;;;;;;;;;;;;;;01/05/2022||01/05/2022||06:00||18:00||||;;;;;;;48.0074547,0.1888225;Sarthe
BRIC À BRAC SEMI-NOCTURNE;Brocantes & vide-greniers;;;;;72460;SAVIGNE-L'EVEQUE;;;72329;48.076935;0.300514;;;06 37 55 80 86;;;;;;;;;;;;;;;;;;;;;;;18/06/2022||18/06/2022||18:00||00:00||||;;;;;;;48.076935,0.300514;Sarthe
BROCANTE DU VSF PÉTANQUE;Brocantes & vide-greniers;Place Général de Gaulle;;;;72400;LA FERTE-BERNARD;;;72132;48.180346;0.642277;;06 76 81 54 28;;;;;;;;;;;;;;;;;;;;;;;;01/05/2022||01/05/2022||||||||;;;;;;;48.180346,0.642277;Sarthe
CINÉMA DE PLEIN AIR : LA PANTHÈRE DES NEIGES;Cinéma;;Guinguette du Moulin;Route de Noyen-sur-Sarthe;;72270;MALICORNE-SUR-SARTHE;;;72179;47.81889;-0.09098;;243948014;;;;;;;;;;;Prévoyez votre chaise et votre couverture;;;;;;;;;;;;;06/08/2022||06/08/2022||22:00||||||;;oui;;;;;47.81889,-0.09098;Sarthe
CONCERT COSMOSE;Concert;;Bar du Lac;2 Rue de Villaines la Juhel;;72130;SAINT-PAUL-LE-GAULTIER;;;72309;48.3209;-0.10701;;;06 63 86 01 95;;bardulac72@gmail.com;;Facebook||https://www.facebook.com/bardulac72;;;;;;;;;;;;;;;;;;;30/04/2022||30/04/2022||19:00||||||;;oui;;;;;48.3209,-0.10701;Sarthe
CONCERT AUX CHANDELLES;Concert;;église Saint Brice;;;72110;COURCIVAL;;;72102;48.2293401;0.39615173;;02 43 97 60 63;;;;;;;;;;Annuel;;;;;;;;;;;;;;09/07/2022||09/07/2022||20:30||||||;;oui;;;;;48.2293401,0.39615173;Sarthe
CONCERT COLLECTIF MÉTISSÉ;Concert;;;;;72170;MEURCE;;;72194;48.23425;0.20139;;02 43 97 60 63;;;;;;https://www.youtube.com/watch?v=5pw0MpLTysE&t=7s;;;;;;;;;;;;;;;;;;25/06/2022||25/06/2022||19:30||||||;Tarif indiv. adulte||15,00||15,00||,Tarif indiv. enfant||12,00||12,00||Enfant -12 ans;;;;;;48.23425,0.20139;Sarthe
CONCERT SACOR'MUSIC;Concert;salle Michel Berger;;;;72460;SAVIGNE-L'EVEQUE;;;72329;48.076935;0.300514;;;06 71 90 25 62;;;;;;;;;;;;;;;;;;;;;;;30/04/2022||30/04/2022||||||||;;;;;;;48.076935,0.300514;Sarthe
CONCOURS DE BOULES SEMI NOCTURNE;Manifestation sportive;;;;;72320;MELLERAY;;;72193;48.09928;0.79937;;02 43 93 64 10;;;;;;;;;;;;;;;;;;;;;;;;05/08/2022||05/08/2022||||||||;;;;;;;48.09928,0.79937;Sarthe
CONCOURS DE PÊCHE DU 14 JUILLET;Manifestation sportive;Jardin des Calots;;Rue des Calots;;72400;LA FERTE-BERNARD;;;72132;48.1936308;0.65793902;;07 83 83 51 81;06 03 03 66 88;;;;;;;;;;;;;;;;;;;;;;;14/07/2022||14/07/2022||13:00||17:00||||;;;;;;;48.1936308,0.65793902;Sarthe
COURSE CYCLISTE;Manifestation sportive;Saint Maixent;;;;72320;SAINT-MAIXENT;;;72296;48.089987;0.651629;;02 43 93 58 25;;;;;;;;;;;;;;;;;;;;;;;;12/06/2022||12/06/2022||||||||;;;;;;;48.089987,0.651629;Sarthe
DESIDERATA - CIE CABAS;Cirque;Sous chapiteau chauffé;Promenade Newton;;;72100;LE MANS;;;72181;47.98644;0.21311;;02 43 47 45 54;;;;https://www.lemansfaitsoncirque.fr/;Facebook||https://www.facebook.com/lemansfaitsoncirque,Instagram||https://www.instagram.com/lemansfaitsoncirque/;;;;;;;;;;;;;;;;;Langue des signes;;05/05/2022||05/05/2022||14:00||15:15||||;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.98644,0.21311;Sarthe
DÎNERS SPECTACLES;Spectacle;;Le Pâtis;38-40 rue d’Eichthal, Le Mans;;72000;LE MANS;;;72181;47.9999286;0.1848121;;02 43 87 75 72;;;cabaretlepatis@orange.fr;www.cabaretlepatis.com;Facebook||https://www.facebook.com/cabaret.lepatis/,Twitter||https://twitter.com/productionsLF;;;;;Mensuel;Consultez le calendrier des dates sur le site www.cabaretlepatis.com;;;;;;;;;;;;;29/04/2022||29/04/2022||19:30||00:00||Dîners spectacles : dès 19h30 - spectacle à : 22h30 - déjeuners spectacles : dès 12h - spectacle à : 14h30 -||,30/04/2022||30/04/2022||19:30||00:00||Dîners spectacles : dès 19h30 - spectacle à : 22h30 - déjeuners spectacles : dès 12h - spectacle à : 14h30 -||,21/05/2022||21/05/2022||19:30||00:00||Dîners spectacles : dès 19h30 - spectacle à : 22h30 - déjeuners spectacles : dès 12h - spectacle à : 14h30 -||;"Tarif indiv. adulte||||||Dîner/Déjeuner spectacle à partir de 76 €;Spectacle + coupe de champagne 51 €;Spectacle seul 43 €";non;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;47.9999286,0.1848121;Sarthe
EXPOSITION L'ART DE LA NATURE;Exposition;;Dans le pigeonnier;Lieu-dit Domaine du Gasseau;;72130;SAINT-LEONARD-DES-BOIS;;;72294;48.3599004;-0.0775072;;02 43 34 34 44;;;legasseau@cchautesarthealpesmancelles.fr;https://www.cchautesarthealpesmancelles.fr/tourisme/gasseau/;Facebook||https://www.facebook.com/Gasseau72/;;;;;Annuel;;;;oui;;;;oui;;;;;;01/07/2022||31/08/2022||11:00||19:00||Ouvert tous les jours de 11h à 19h ||;;oui;;;;;48.3599004,-0.0775072;Sarthe
EXPOSITION L'ART DES FULGURANCES DE RÉMY LE GUILLERM;Exposition;;Galerie L'arTmature;12 Place Thiers;;72130;FRESNAY-SUR-SARTHE;;;72138;48.2810764;0.01959198;;;06 67 48 28 56;;;http://www.lartmature.com/;Facebook||https://www.facebook.com/artmature72/;;;;;Ponctuel;;;;oui;;;;oui;;;;;;07/05/2022||21/06/2022||||||Ouvert du mardi au samedi de 10h à 12h et de 14h à 18h, fermé le dimanche et le lundi. ||;;oui;;;;;48.2810764,0.01959198;Sarthe
EXPOSITION : LES CARTES S'AFFICHENT;Exposition;;;;;72370;ARDENAY-SUR-MERIZE;;;72007;47.99616;0.42459;;02 43 82 50 99;;;;;;;;;;;;;;;;;;;;;;;;17/09/2022||18/09/2022||10:00||18:30||||;;;;;;;47.99616,0.42459;Sarthe
EXPOSITION DE DINOSAURES;Exposition;;Parking à coté du Novotel;Boulevard Robert Schuman;;72100;LE MANS;;;72181;47.99156;0.233198;;;06 24 75 38 95;;contact.dinosaures@gmail.com;http://exposition-dino-world.com/;Facebook||https://www.facebook.com/leregnedesdinosaures/?eid=ARDMUpLP6dK7GfdwqPCU5wbs6TZoUsWI2ive_mMjqPxQNLHBUVG9pihgtQZefo59GakBVsNEZ5-ov4py;;;;;;;;;;;;;;;;;;;14/05/2022||15/05/2022||10:00||18:30||||;"Tarif indiv. enfant||8,00||8,00||Tarifs : 8€/ enfant de 3 à 12 ans;10€/a partir de 13 ans ,Tarif indiv. adulte||10,00||10,00||Tarifs : 8€/ enfant de 3 à 12 ans;10€/ à partir de 13 ans";non;;;;Chèques bancaires et postaux,Espèces;47.99156,0.233198;Sarthe
EXPOSITION DE MOTOS;Exposition;Salles P. Richard et A. Delhalle;;;;72450;MONTFORT-LE-GESNOIS;;;72241;48.0543056;0.38835956;;;;;;;;;;;;;;;;;;;;;;;;;;04/11/2022||07/11/2022||||||||;;;;;;;48.0543056,0.38835956;Sarthe
EXPOSITION DES PEINTURES DE RAMON LOPEZ - JAZZ PAINTINGS;Exposition;Office de Tourisme Maine Saosnois;;50 Place Carnot;;72600;MAMERS;;;72180;48.3509053;0.36970354;;02 43 97 60 63;;;;;;;;;;;;;;;;;;;;;;;;30/07/2022||29/08/2022||||||||;;oui;;;;;48.3509053,0.36970354;Sarthe
FABRIQUONS NOS DÉCORATIONS DE NOËL;Stages-Atelier-Jeux;Centre Maurice Loiseau;;;;72400;LA FERTE-BERNARD;;;72132;48.1835794;0.64794718;;06 77 76 92 84;;;;;;;;;;;;;;;;;;;;;;;;27/11/2022||27/11/2022||14:00||17:00||||;;;;;;;48.1835794,0.64794718;Sarthe
FESTI'ROCK;Festival;;;Place de la République;;72600;MAMERS;;;72180;48.3507032;0.3694522;;02 43 97 60 63;;;;;;;;;;;;;;oui;;;;oui;;;;;;21/05/2022||21/05/2022||17:30||00:00||||;;oui;;;;;48.3507032,0.3694522;Sarthe
