nom_offre_touristique;type_offre;adresse1;adresse1suite;adresse2;adresse3;code_postal;bureau_distributeur;commune;cedex;code_insee;latitude;longitude;situation_offre;n_mobile;n_fixe;n_fax;email;url_web;url_video;code_embed;type_url;widget_tripadvisor;secteur_activite;labels;label_tourisme_handicap;animal_accepte;information_animal;groupe_accepte;nombre_personnes_max;nombre_personnes_min;langues_acceuil;appellation_vins;degustations_gratuites;salle_equipee;vente_propriete;duree_visite_individuels;duree_visite_groupes;visites_guidees_groupes_permanence;visites_guidees_groupes_sur_demande;visites_libres_groupes_permanence;visites_pedagogiques_groupes_permanence;visites_guidees_individuels_permanence;visites_guidees_individuels_sur_demande;langue_parlee_visites;visites_libres_individuels_permanence;offres_proposees;ouvert_toute_annee;horaires_ouvertures;moyen_reservation_directe;moyen_reservation_en_ligne;centrale_reservation_en_ligne;tarif_gratuit;tarif;modes_paiement;localisation;departement
GAEC DES HÊTRES;Volailles / Oeufs;L'oiselière;;;;72110;;COURCIVAL;;72102;48.22966;0.39676;;608724250;02 43 29 35 89;;loiseliere72@gmail.com;https://www.drivadore301.com;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.22966,0.39676;Sarthe
DOMINIQUE BRARD : FROMAGES DE CHEVRE;Fromage et produit laitier;La Norrie;;;;72110;;TORCE-EN-VALLEE;;72359;48.133227;0.39698;;;06 76 02 60 77;;brardominique@free.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;Français;;oui;;oui;;;;;;;;oui;;;;oui;;;;;oui;;;48.133227,0.39698;Sarthe
FERME DU COLOMBIER;Fromage et produit laitier;Le Colombier;;;;72160;;TUFFE VAL DE LA CHERONNE;;72363;48.146754;0.506647;;;06 46 32 82 90;;gaecfermeducolombier@gmail.com;lafermeducolombier.fr;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;||||||||||||||||||||||||||||||||||||||||14:30||19:00||||||10:00||12:30||||||||||||;;;;;;;48.146754,0.506647;Sarthe
FERME DU FRÊNE;"Fromage et produit laitier;Fruits / légumes";Le Frêne;;;;72800;;LE LUDE;;72176;47.636276;0.144146;;;;;;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.636276,0.144146;Sarthe
CHÉVRERIE DU MOULIN DE LA RONCE;Fromage et produit laitier;Le Moulin de la Ronce;;;;72320;;CHAMPROND;;72057;48.1006198;0.74415098;;;06 09 83 57 37;;biche.jacquelin@icloud.com;https://www.facebook.com/Chevre-du-Moulin-104711434480443/;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;||||||||14:00||17:00||||||14:00||17:00||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||;;;;;;;48.1006198,0.74415098;Sarthe
CHT BELMAR ET CAVO;Vins;44 rue de Cinq Ans;;;;72600;;MAMERS;;72180;48.3525286;0.37327564;;777089451;02 43 31 78 71;;;;;;;;Viticulture;;;;;;15;4;Anglais;;;oui;;;;oui;oui;non;oui;non;;"Français;Anglais";non;;oui;;;;;;Tarif indiv. adulte||||||comprend la visite, dégustation avec fromage;;48.3525286,0.37327564;Sarthe
LA COUR D'ARMOISE;Volailles / Oeufs;;;;Le Pâtis;72550;;COULANS-SUR-GEE;;72096;48.020168;0.0210295;;682049413;;;lacourdarmoise@orange.fr;;;;Facebook||https://www.facebook.com/Volailles-de-La-Cour-dArmoise-105597454451722;;Agriculture / horticulture / Pêche;;;non;;non;;;Français;;;non;oui;;;non;non;non;non;;;Français;;;oui;04/01/2022||29/12/2022||Ouvert sur RDV et présent sur les marchés du samedi et dimanche au Mans||||||||||||||||||||||||||||||||||||09:00||12:30||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.020168,0.0210295;Sarthe
REVE D'ABEILLES;Produits apicoles;;Zone Artisanale;3 Rue de la Prairie;;72150;;LE GRAND-LUCE;;72143;47.8694483;0.4635255;;;02 43 86 04 53;;api.dugue72@gmail.com;http://apiculture.dugue.over-blog.com;;;"Facebook||https://www.facebook.com/Revedabeilles;Instagram||https://www.instagram.com/explore/locations/109107193803273/reve-dabeilles-miel-dugue-le-guillerm/?hl=fr";;Agriculture / horticulture / Pêche;;;;;oui;;;Français;;oui;oui;;;1h00-1h30;non;oui;non;oui;non;non;Français;non;;oui;01/01/2022||31/12/2022||||Fermer lundi, mardi, jeudi, dimanche.||||||||||||||||||09:00||12:00||14:00||18:00||||||||||09:00||12:00||14:00||18:00||09:00||13:00||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.8694483,0.4635255;Sarthe
L'ATELIER DE YANN RIO;Travail du bois;;;12 rue Marceau;;72270;;MALICORNE-SUR-SARTHE;;72179;47.8130125;-0.0857159;;688939260;;;yann.rio7@orange.fr;;;;;;Artisanat / Art;Métiers d'art;;oui;De petites tailles;oui;10;;;;;;;01h00;01h00;non;oui;non;;non;oui;Français;non;;oui;01/01/2022||31/12/2022||Ouverture sur RDV uniquement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.8130125,-0.0857159;Sarthe
LA FORGE DE L'ÂME;Métal;;;;Lieu-dit Saint-Julien;72300;;VION;;72378;47.8106441;-0.2355972;;616301461;;;laforgedelame.coutellerie@gmail.com;;;;Facebook||https://www.facebook.com/La-Forge-de-L%C3%A2me-292452168064581/;;Artisanat / Art;Métiers d'art;;non;;oui;10;1;"Anglais;Français";;non;non;oui;1h;1h;;oui;non;oui;;oui;Français;non;;oui;;;;;;;"Chèques bancaires et postaux;Espèces";47.8106441,-0.2355972;Sarthe
ÉDITH CLEMENT - PLASTICIENNE;"Peinture;Sculpture";La Pinardière;;;;72320;;GREEZ-SUR-ROC;;72144;48.136586;0.796168;;;06 11 13 27 69;;edith.clement72@gmail.com;https://greez-sur-roc.fr/edith-clement;;;;;Artisanat / Art;;;non;;oui;10;5;"Anglais;Espagnol;Français";;;;;30 mn;30 mn;;;oui;;;;"Français;Anglais;Espagnol";oui;;oui;;Edith Clément||02 43 93 89 40||;;;oui;;;48.136586,0.796168;Sarthe
ATELIER PATCHA;"Décoration d'intérieur;Sculpture";;;1 Impasse de l'Église;;72170;;SAINT-MARCEAU;;72297;48.17883;0.1275679;;622451179;;;deldieu@orange.fr;;https://vialmtv.tv/atelier-patcha-saint-marceau-12052021-partie-1/;;Instagram||https://www.instagram.com/atelierpatcha/;;Artisanat / Art;Métiers d'art;;oui;;oui;15;5;"Espagnol;Français";;non;non;;;;non;non;oui;non;non;non;"Français;Espagnol";oui;;oui;;MME DIEU||06 22 45 11 79||deldieu@orange.fr;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.17883,0.1275679;Sarthe
CIDRE FERMIER DES ALPES MANCELLES;Produits cidricoles / Jus de fruit;;;La Coursure;;72130;;ASSE-LE-BOISNE;;72011;48.278393;0.00851298;;672163817;02 43 33 29 15;;coursure@gmail.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;oui;;oui;25;10;"Anglais;Français";;oui;oui;oui;;;non;;non;;non;non;Français;non;;oui;01/06/2022||30/09/2022||Ouvert le jeudi de 17h à 19h||||||||||||||||||||||||||||17:00||19:00||||||||||||||||||||||||||||;DENOS||02 43 33 29 15||coursure@gmail.com;;;oui;;Chèques bancaires et postaux;48.278393,0.00851298;Sarthe
TERRE ET BOIS;"Céramique, faïence, émail;Décoration d'intérieur;Jouet et jeu;Poterie;Travail du bois";;;17 route de Parcé;Les Belles Poules;72270;;MALICORNE-SUR-SARTHE;;72179;47.8134394;-0.0980411;;663680639;;;patmaub@gmail.com;https://atelierterreetbois.wixsite.com/artisan-art;;;Facebook||https://www.facebook.com/Atelier-TERRE-et-BOIS-1538115259733882/;;Artisanat / Art;Métiers d'art;;oui;;oui;40;10;Français;;;;oui;30 MN;01h00;oui;oui;non;oui;;;Français;oui;;oui;"01/01/2022||31/12/2022||Horaires de la visite de boutique||Dimanche||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||||||||;01/01/2022||31/12/2022||Visite des ateliers pour les groupes (à partir de 12 personnes) sur réservation||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;oui;Tarif groupe adulte||3,00||6,00||3 € la visite de l'atelier par personne;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.8134394,-0.0980411;Sarthe
MIEL DE MONSIEUR PAULOUIN;Produits apicoles;;;6 Rue de la Moquetterie;;72240;;BERNAY-NEUVY-EN-CHAMPAGNE;;72219;48.0816192;-0.0364224;;677440213;;;michel.paulouin@laposte.net;;;;;;Agriculture / horticulture / Pêche;;;oui;;oui;6;;"Anglais;Français";;;non;oui;1 h;1 h;oui;oui;;;oui;oui;"Français;Anglais";non;;non;||||toute l'année sur RDV uniquement||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;M.PAULOUIN||06 77 44 02 13||michel.paulouin@laposte.net;;;oui;;;48.0816192,-0.0364224;Sarthe
BOUTIQUE MUSÉE DE L'ABEILLE;"Confiserie / chocolat;Confiture;Produits apicoles;Produits cidricoles / Jus de fruit";;;23 Avenue Division Leclerc;La Hutte;72130;;FRESNAY-SUR-SARTHE;;72138;48.3028364;0.09541959;;;02 43 97 13 41;;apiculture@naturelia72.com;http://www.apiculture72.com;;;Facebook||https://www.facebook.com/LeRucherduMoulin/;;;;;non;;oui;75;15;"Anglais;Français";;oui;oui;oui;;;non;non;non;non;;;"Français;Anglais";;;oui;01/01/2021||31/12/2022||Ouvert du mardi au samedi de 9h à 12h et de 14h30 à 18h30||||||||||||09:00||12:00||14:30||18:30||09:00||12:00||14:30||18:30||09:00||12:00||14:30||18:30||09:00||12:00||14:30||18:30||09:00||12:00||14:30||18:30||||||||;foucher pascal||02 43 97 13 41||apiculture@naturelia72.com;;;oui;;"Cartes bancaires;Chèques bancaires et postaux";48.3028364,0.09541959;Sarthe
VINS REGIS BRETON;Vins;;;1 rue du Percheron;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.728933;0.57381;"Autoroute||A28 (Montabon)||20;Gare SNCF||Tours - 45 Km Le Mans||40;Héliport||Neuvy Le Roi||15";;06 22 03 00 24;;jasnieres@orange.fr;;;;;;Viticulture;;;non;;oui;40;;;"Coteaux du Loir;Jasnières";;oui;oui;;;;;non;;oui;;Français;non;;;||||Ouvert toute l'année sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;BRETON||06.22.03.00.24||;;;;;Chèques bancaires et postaux;47.728933,0.57381;Sarthe
LA CABANE DES PRODUCTEURS;"Bières;Biscuit;Brioche et viennoiserie;Confiture;Cosmétique;Epices / Condiment;Escargot;Fromage et produit laitier;Fruits / légumes;Glace;Huile;Pain / Pâtisserie;Produits apicoles;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Rillettes;Salaisons;Spiruline;Viande;Vins;Volailles / Oeufs";;;Zone commerciale La Molière;Près du Lidl;72540;;MAREIL-EN-CHAMPAGNE;;72184;47.9881166;-0.1654836;Autoroute||A81, 1||;;;;lacabanedesproducteurs@gmail.com;;https://www.facebook.com/pg/valleedelasarthe/videos/?ref=page_internal;;Facebook||https://www.facebook.com/lacabanedesproducteurslcdp/;;Agro-alimentaire;;;;;;;;;;oui;;;;;;;;;;;;;;oui;01/01/2021||31/12/2022||Ouvert le mercredi de 14h à 18h, le vendredi de 15h à 19h et le samedi de 10h à 18h. ||Fermé lundi, mardi, jeudi et dimanche||||||||||||||||||||||14:00||18:00||||||||||||||15:00||19:00||10:00||||||18:00||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.9881166,-0.1654836;Sarthe
HUILERIE SAINT JULIEN;"Epices / Condiment;Huile";Hameau Saint Julien le Pauvre;;;Neuvy-en-Chamapgne;72240;;BERNAY-NEUVY-EN-CHAMPAGNE;;72219;48.0809156;-0.0386508;"Gare SNCF||CONLIE||10;Autoroute||A81 LE MANS RENNES||13;Transport en commun||COULANS SUR GEE||5";637164476;02 43 77 03 11;;;http://www.huileriesaintjulien.com;https://www.youtube.com/watch?v=M17I0_TvdvY;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/M17I0_TvdvY"" frameborder=""0"" allow=""accelerometer;autoplay;encrypted-media;gyroscope;picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;;Agro-alimentaire;Agriculture Biologique (AB);;non;;oui;25;10;"Allemand;Anglais;Français";;oui;oui;oui;60 MN;;;oui;non;;;oui;Français;non;;oui;||||||||||||||||||||||||||||15:00||18:00||||||||||||||18:00||20:00||||||||||||||||;;;;non;;"Chèques bancaires et postaux;Espèces";48.0809156,-0.0386508;Sarthe
EXPLOITATION DE CULTURE DE PETITS FRUITS ROUGES;"Confiture;Fruits / légumes;Produits du terroir (boutique)";;;Ferme Equestre des Bleuets;La Brunetière;72500;;VAAS;;72364;47.698583;0.335522;"Gare SNCF||Vaas||5;Autoroute||A 28 sortie Château du loir ||5";613774784;;;fermedesbleuets@nordnet.fr;http://www.fermedesbleuets72.fr;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;"Français;Langue des signes";;;;oui;;;;;non;;non;non;Français;non;;non;;Fabienne HAGNEAUX||02 43 46 21 02||fermedesbleuets@nordnet.fr;;;oui;;"Chèques bancaires et postaux;Espèces";47.698583,0.335522;Sarthe
LES FILS DE SOPHIE;Laine;;;;Belle Place;72600;;NEUFCHATEL-EN-SAOSNOIS;;72215;48.3628282;0.24234819;Route (nationale/départ.)||D165||1;628305039;02 43 33 31 83;;lesfilsdesophie@orange.fr;http://lesfilsdesophie.free.fr;;;;;Artisanat / Art;;;;;;;;;;non;non;oui;;;oui;oui;non;;oui;oui;Français;non;;oui;||||sur rendez-vous toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Sophie BOUVET||02 43 33 31 83||lesfilsdesophie@orange.fr;;;oui;;;48.3628282,0.24234819;Sarthe
GAEC DES GRANDES MORCINES;Fromage et produit laitier;;;Les Grandes Morcines;;72150;;LE GRAND-LUCE;;72143;47.8861039;0.449989;"Route (nationale/départ.)||||0,1;Autoroute||A28||10;Aéroport/aérodrome||Tours||50;Gare SNCF||Le Mans||30;Gare routière||Le Mans||30";;02.43.40.49.51;02.43.40.49.51;lesgrandesmorcines@gmail.com;;;;;;Agriculture / horticulture / Pêche;;;oui;;oui;20;10;Anglais;;oui;;oui;30;;;oui;;;non;oui;Français;non;;non;;REMY||07 70 48 54 50||lesgrandesmorcines@gmail.com;;;oui;;Chèques bancaires et postaux;47.8861039,0.449989;Sarthe
DOMAINE DE CEZIN;Vins;;;Rue de Cézin;;72340;;MARCON;;72183;47.7132675;0.52042681;"Route (nationale/départ.)||||0,3;Autoroute||||20;Aéroport/aérodrome||Tours||40;Gare SNCF||Chateau du Loir||10";;02 43 44 13 70;;earl.francois.fresneau@orange.fr;http://www.fresneau.fr/;"http://youtu.be/yk9x-zvX1ZQ;https://youtu.be/vZTQK9Pq3No";;"Facebook||https://fr-fr.facebook.com/domainedecezin.fresneau/;Instagram||https://www.instagram.com/domainedecezin/?igshid=1k1wcdbtae7ox;Twitter||https://twitter.com/domainedecezin";;Viticulture;"Bienvenue à la Ferme;Caves touristiques vignoble de Loire;Ecolabel européen;Haute valeur environnementale (HVE);Vigneron Indépendant;Vignobles et découvertes";;oui;;oui;25;10;"Anglais;Français";"Coteaux du Loir;Jasnières";oui;oui;oui;00:15;01:00;oui;oui;oui;oui;oui;oui;Français;oui;;oui;"03/01/2022||30/04/2022||||FERME LES JOURS FERIES||09:00||12:00||||||||||||||||||||||||||||||15:00||18:00||||||09:00||12:00||15:00||18:00||||||||;01/05/2022||14/08/2022||||Fermé du 15 Aout à début Septembre||09:00||12:00||||||||||||||15:00||18:00||||||||||||||15:00||18:00||||||09:00||12:00||15:00||18:00||||||||;01/09/2022||31/12/2022||||FERME PENDANT LES VENDANGES ET JOURS FERIES||09:00||12:00||||||||||||||||||||||||||||||15:00||18:00||||||09:00||12:00||15:00||18:00||||||||";;;;oui;Tarif groupe adulte||4,00||||;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.7132675,0.52042681;Sarthe
DOMAINE LES MAISONS ROUGES;Vins;;Les Chaudières;26 route des Hautes Touches;Ruillé sur Loir;72340;;LOIR EN VALLÉE;;72262;47.7599267;0.644437;Route (nationale/départ.)||||2;783740418;02 43 79 50 09;;mr@maisonsrouges.com;http://www.maisonsrouges.com;;;;;Viticulture;Agriculture Biologique (AB);;oui;;oui;15;;"Anglais;Français";"Coteaux du Loir;Jasnières";oui;oui;oui;;01:30;non;oui;oui;oui;non;oui;"Français;Anglais";oui;;;||||Toute l'année sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux";47.7599267,0.644437;Sarthe
JEAN-CLAUDE FOURMONT - SCLUPTURE;Sculpture;;;;;72370;;ARDENAY-SUR-MERIZE;;72007;47.994947;0.423148;;679697360;02 43 89 88 44;;jcfourmont@aol.com;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.994947,0.423148;Sarthe
GALERIE PÈLE MÊLE;;;;;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.728568;0.571416;;;;;stephanelanglois1@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.728568,0.571416;Sarthe
JEAN-YVES LEPROUST - FROMAGE DE CHEVRE;Fromage et produit laitier;;;;CASSEPOT;72440;;VOLNAY;;72382;47.966743;0.5073879;;;02 43 35 41 41;;jeanyvesleproust@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;Français;;;;;;;;;;;;;;;;oui;;M. LEPROUST||02 43 35 41 41||;;;;;;47.966743,0.5073879;Sarthe
ROSY LAPIN;"Elevage;Rillettes;Viande";;;;La Commune;72210;;ROEZE-SUR-SARTHE;;72253;47.8675092;0.0564292;;766298610;07 66 29 86 10;;chezrosylapin@gmail.com;;;;Facebook||https://www.facebook.com/rosylapin;;Agriculture / horticulture / Pêche;;;;;;;;;;;;oui;;;;;;;;oui;;;;oui;01/01/2022||31/12/2022||Boutique ouverte le lundi et le mercredi de 16h à 19h et le samedi de 9h à 12h30.Visite de l'élevage uniquement sur RDV.||Fermé le mardi, jeudi, vendredi et dimanche||||||16:00||19:00||||||||||||||16:00||19:00||||||||||||||||||||||09:00||12:30||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.8675092,0.0564292;Sarthe
LEGUMES DESILLE;Fruits / légumes;;;;La Girardière;72210;;CHEMIRE-LE-GAUDIN;;72075;47.9210021;-0.0169339;;679045317;06 79 04 53 17;;legumesdesille@gmail.com;http://www.legumesdesille.com/;;;"||http://www.legumesdesille.com;Facebook||https://www.facebook.com/legumes.desille;Instagram||https://www.instagram.com/legumes.desille/";;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||Vendredi soir de 16h00 à 18h00||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.9210021,-0.0169339;Sarthe
LE MIEL D'ARNAUD;"Epices / Condiment;Produits apicoles";;;;La Jouanière;72210;;LOUPLANDE;;72169;47.9576909;0.06907;;660135602;;;;arnaudgueret@wanadoo.fr;;;Facebook||https://www.facebook.com/Le-Miel-dArnaud-Apiculteur-102913955083229;;Agriculture / horticulture / Pêche;;;non;;;;;Anglais;;oui;;oui;;;non;non;non;non;non;non;;non;;oui;01/01/2022||31/12/2022||Sur RDV||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.9576909,0.06907;Sarthe
FERME DE LA MONCESIERE;"Fruits / légumes;Produits cidricoles / Jus de fruit";;;;La Moncesière;72550;;COULANS-SUR-GEE;;72096;48.011848;0.02874399;;662523534;06 62 52 35 34;;lamoncesiere@gmail.com;;;;Facebook||https://www.facebook.com/groups/1895321654064496/about;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;Anglais;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||Ouvert le mardi et le vendredi de 17h à 19h30. Le vendredi présence d'autres producteurs (pains et produits laitiers).||||||||||||||||17:00||19:30||||||||||||||||||||||17:00||19:30||||||||||||||||;;;;oui;;"Chèques bancaires et postaux;Espèces";48.011848,0.02874399;Sarthe
FERME BLIN SCEA;Fruits / légumes;;;;La Terre Rouge;72250;;PARIGNE-L'EVEQUE;;72231;47.9405123;0.32963755;;;02 43 75 82 06;;sceablin@gmail.com;;;;Facebook||https://www.facebook.com/sceablin72/?ref=page_internal;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.9405123,0.32963755;Sarthe
LES GLACES DES COURBETONS;Glace;;;;Le Grand Courbeton;72300;;PARCE-SUR-SARTHE;;72228;47.8513279;-0.1993056;;616352023;;;riaute.patrice@gmail.com;;;;Facebook||https://www.facebook.com/pg/catherinetpatriceriaute/about/?ref=page_internal;;Agro-alimentaire;Bienvenue à la Ferme;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||Ouvert le vendredi de 17h00 à 19h00 et le samedi de 10h00 à 12h00||||||||||||||||||||||||||||||||||||||||17:00||19:00||10:00||12:00||||||||||||;;;;;;;47.8513279,-0.1993056;Sarthe
ATELIER DE MEHRI VAKILI;"Peinture;Sculpture";;;;LE TEMPLE;72260;;RENE;;72251;48.2809564;0.22012645;;608458478;;;mvcreations@orange.fr;https://www.facebook.com/mehrivakili.artiste.peintre.sculpteur/;;;;;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;Français;;;oui;;||06 08 45 84 78||mvcreations@orange.fr;;;;;;48.2809564,0.22012645;Sarthe
LES MARAIS - BOURELLERIE, SELLERIE;Maroquinerie;;;;Les Marais;72110;;COURCEMONT;;72101;48.1661733;0.32091249;;661798901;;;;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1661733,0.32091249;Sarthe
VENTE DE BOCAUX A LA FERME DES ROUSSETS;"Produits du terroir (boutique);Viande";;;;Les Roussets;72300;;JUIGNE-SUR-SARTHE;;72151;47.8648906;-0.3255411;;662915609;;;carole.boutet056@orange.fr;;;;"||https://lesbocaux-desroussets.sumup.link/?fbclid=IwAR1AmlezbBkfKB2S8QxAebOEgB4aT06GCX5AvQRpN0CQ5N60iybVa9Vn8Os;||http://elevagedesroussets.eklablog.com/?fbclid=IwAR2Pyh-N4SW0sj3vbrpi0H9lbT1oHySug32qWqahfaoMFVGPvkfSt7HflGk;Instagram||https://www.instagram.com/ferme_des_roussets/";;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||Ouvert le samedi matin de 10h30 à 12h30 et sur rdv||||||||||||||||||||||||||||||||||||||||||||10:30||12:30||||||||||||;;;;;;;47.8648906,-0.3255411;Sarthe
ATELIER GOURMAND (COURS DE CUISINE);;;;68 boulevard des Hunaudières;La Lande du Camp;72230;;RUAUDIN;;72260;47.940089;0.2313718;;622956415;;;lemans@atelier-gourmand.fr;https://www.atelier-gourmand.fr/nos-ateliers/cours-cuisine-le-mans/accueil;;;;;Loisirs et activités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.940089,0.2313718;Sarthe
LE BOEUF FERMIER;"Produits du terroir (boutique);Rillettes";;;12 rue Marchande;;72300;;SOLESMES;;72336;47.8518768;-0.301669;;;02 43 95 45 19;;dominique.nicolas@outlook.fr;http://www.restaurant-boeuf-fermier.fr/;;;Facebook||https://www.facebook.com/LeBoeufFermier?fref=ts;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||Ouverts 7j/7 tous les midis, de 11h45 à 14h30. Conseillé de réserver au préalable.||Du 1er décembre au 1er avril fermé le dimanche.||11:45||14:30||||||11:45||14:30||||||11:45||14:30||||||11:45||14:30||||||11:45||14:30||||||11:45||14:30||||||11:45||14:30||||;;;;oui;"Tarif indiv. adulte||14,90||17,90||A partir de 5.90€ qui correspond à l'achat de terrine de 200g.;Tarif indiv. adulte||22,90||||";"Cartes bancaires;Chèques bancaires et postaux;Espèces;Tickets Restaurant";47.8518768,-0.301669;Sarthe
LE PLAISIR DE CHINER;;;;16 Place Saint-Nicolas;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.73031;0.56981;;680563376;;;audrey048888@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.73031,0.56981;Sarthe
LE COMPTOIR GOURMAND;"Art de la table;Biscuit;Confiserie / chocolat;Confiture;Epices / Condiment;Foie gras;Glace;Huile;Produits apicoles;Produits du terroir (boutique);Rillettes;Salaisons;Sel;Spiritueux;Vins";;;16, Place de la république;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.7279084;0.57546899;;620890197;02 43 44 32 13;;comptoir-gourmand@wanadoo.fr;;;;;;Agro-alimentaire;;;;;;;;Anglais;;;;;;;;;;;;;;;;oui;"01/01/2022||31/03/2022||||||||||||||||||||||||||||||10:00||12:30||15:00||19:30||10:00||12:30||15:00||19:30||10:00||12:30||15:00||19:30||10:00||12:30||15:00||19:30;01/04/2022||31/10/2022||||||||||||||10:00||12:30||15:00||19:30||10:00||12:30||15:00||19:30||10:00||12:30||15:00||19:30||10:00||12:30||15:00||19:30||10:00||||||19:30||10:00||||||19:30;01/11/2022||31/12/2022||||||||||||||||||||||||||||||10:00||12:30||15:00||19:30||10:00||12:30||15:00||19:30||10:00||12:30||15:00||19:30||10:00||12:30||15:00||19:30";;;;oui;;"Cartes bancaires;Chèques bancaires et postaux";47.7279084,0.57546899;Sarthe
BRASSERIE MAGE MALTE;Bières;;;19 Rue de Navarre;;72600;;MAMERS;;72180;48.3514605;0.37816135;;672029167;;;qualimenuiserie@gmail.com;www.magemalte.com;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;||||Vente directe : le vendredi de 9h à 12h et de 14h à 18h, le samedi de 9h à 12h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;48.3514605,0.37816135;Sarthe
LA PETITE FABRIQUE DE PAPIER;;;;2, le Vau du Puy;;72340;;CHAHAIGNES;;72052;47.7748379;0.5145116;;628071142;;;nadia.gypteau@gmail.com;https://www.lapetitefabriquedepapier.fr;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.7748379,0.5145116;Sarthe
VUE DE L'INTERIEUR ANTIQUAIRE SCÉNARISTE;;;;20 Rue Nationale;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.72809;0.57466;;620626717;;;courtingregoire@yahoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.72809,0.57466;Sarthe
ATELIER D'ŒNOLOGIE ET DE CUISINE - TELL ME WINE;"Art de la table;Bières;Vins";;;39 rue de Coup de Pied;;72650;;LA CHAPELLE-SAINT-AUBIN;;72065;48.0337358;0.16772879;;662522502;;;contact@tellmewine.fr;http://www.tellmewine.fr/;;;;;Viticulture;;;;;;;;Anglais;;;oui;;;;;;;;;;"Français;Anglais";;;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux";48.0337358,0.16772879;Sarthe
