nom_fete_ou_manifestation;categorie;adresse1;adresse1suite;adresse2;adresse3;code_postal;commune;bureau_distributeur;cedex;code_insee;latitude;longitude;point_acces_distance;n_fixe;n_mobile;n_fax;email;url_web;type_url;url_video;public_concerne_offre;widget_tripadvisor;code_embed;periodicite_manifestation;precision_periodicite;label_tourisme_handicap;duree_visite_individuels;visites_libres_individuels_permanence;visites_guidees_individuels_sur_demande;visites_guidees_individuels_permanence;visites_guidees_groupes_sur_demande;visites_guidees_groupes_permanence;visites_guidees_groupes_permanence_2;duree_visite_groupes;visites_pedagogiques_groupes_permanence;langues;langues_audio;horaires_ouvertures;tarifs_annee_proposes;tarif_gratuit;moyens_reservation_directe;centrale_reservation_en_ligne;moyens_reservation_en_ligne;modes_paiement;localisation;departement
VITAA & SLIMANE;Concert;;Antares;2 Avenue Antares;;72100;LE MANS;;;72181;47.956751;0.226448;Transport en commun||Tramway T1 _ Terminus Antares/MMArena||0,1;02 43 84 67 00;;;billetterielemans@citylive.fr;https://www.antareslemans.com/evenement/vitaa_slimane_2/;Facebook||https://www.facebook.com/salle.antares/,Instagram||https://www.instagram.com/antares_le_mans/?hl=fr,Twitter||https://twitter.com/AntaresLeMans;;;;;Ponctuel;;;;;;;;;;;;;;;"Tarif indiv. adulte||||||Tarifs (assis numerote) :;> Carre or : 59€;> Categorie 1 : Public 49€ / CE 46€;> Categorie 2 : 39€;;Reservations CE & PMR : 02 43 84 67 00";non;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;47.956751,0.226448;Sarthe
FINALES COUPES SARTHE DE HANDBALL;Manifestation sportive;Gymnase Olympe;;;;72400;LA FERTE_BERNARD;;;72132;48.1823819;0.64812421;;06.76.41.09.94;;;;https://www.vsfhandball.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1823819,0.64812421;Sarthe
FLEURISSE'MANS;Fetes populaires;;;Esplanade des Jacobins;;72000;LE MANS;;;72181;48.0081292;0.200516;;02 43 47 49 92;;;;;;;;;;Annuel;;;;;;;;;;;;;;;;;;;;;48.0081292,0.200516;Sarthe
FeTE DE LA COMMUNE;Fetes populaires;Terrain Salle polyvalente;;;;72160;LA CHAPELLE_SAINT_REMY;;;72067;48.093372;0.466151;;02 43 93 46 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.093372,0.466151;Sarthe
FeTE DE LA ST DENIS;Fetes populaires;Salle Polyvalente;;;;72400;CORMES;;;72093;48.16935;0.70422;;02 43 71 04 17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.16935,0.70422;Sarthe
FeTE DU CHEVAL;Fetes populaires;;;;;72460;SAVIGNE__EVEQUE;;;72329;48.07743;0.30164;;02 43 27 53 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.07743,0.30164;Sarthe
GALA DE GYMNASTIQUE;Manifestation sportive;Salle Olympe;;;;72400;LA FERTE_BERNARD;;;72132;48.180472;0.642277;;06 52 16 48 43;;;vsf.gymnastique@gmail.com;https://asso_vsfgym.myassoc.org;;;;;;;;;;;;;;;;;;;;;;;;;;;48.180472,0.642277;Sarthe
GALA MODERN'JAZZ;Danse (spectacle);;;;;72460;SAVIGNE__EVEQUE;;;72329;48.076935;0.300514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.076935,0.300514;Sarthe
GRATIFeRIA;Brocantes & vide_greniers;;Maison de quartier Georges Moustaki;211 Rue des Maillets;;72000;Le Mans;;;72181;48.0170455;0.2158664;Route (nationale/depart.)||||;09 81 41 49 32;;;bonjour@lekiosque_evs.fr;https://www.mjcprevert.com/;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.0170455,0.2158664;Sarthe
GRATIFeRIA : DONS DE VeTEMENTS 0 a 12 ANS;Brocantes & vide_greniers;211 rue des Maillets;;211 Rue des Maillets;211 rue des Maillets;72000;Le Mans;;;72181;48.0170455;0.2158664;Route (nationale/depart.)||211 rue des Maillets||,Transport en commun||Tramway T2 _ Maillets Zamenhof||;09 81 41 49 32;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.0170455,0.2158664;Sarthe
JE VAIS T'AIMER;Spectacle;;Antares;2 Avenue Antares;;72100;LE MANS;;;72181;47.956751;0.226448;Transport en commun||Tramway T1 _ Terminus Antares/MMArena||0,1;;;;;https://www.antareslemans.com/;Facebook||https://www.facebook.com/salle.antares/,Instagram||https://www.instagram.com/antares_le_mans/,Twitter||https://twitter.com/AntaresLeMans;;;;;Ponctuel;;;;;;;;;;;;;;;Tarif indiv. adulte||35,00||79,00||Carre or : 79€, Cat1 : 65€, Cat2 : 45€, Cat3 : 35€  Placement assis numerote;non;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;47.956751,0.226448;Sarthe
JOURNeE D’eTUDE  L’ABBAYE DE SAINT_CALAIS ET SES TReSORS »;Conference;Centre culturel;;;;72120;SAINT_CALAIS;;;72269;47.920883;0.744722;;02 43 60 72 77;;;perche_sarthois@orange.fr;www.perche_sarthois.fr;;;;;;;;;;;;;;;;;;;;;;oui;Pays du Perche Sarthois||02 43 60 72 77||perche_sarthois@orange.fr;;;;47.920883,0.744722;Sarthe
JOURNeES DU PATRIMOINE _ EXPOSITION DE PEINTURE ET ATELIERS ARTISTIQUES;Manifestation Nationale;Eglise;;;;72370;SOULITRE;;;72341;48.01152;0.45657;;;07 88 09 26 90;;acls.soulitre@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.01152,0.45657;Sarthe
JOURNeES DU PATRIMOINE DE PAYS ET DES MOULINS _ MOULIN DU CHAMP;Manifestation Nationale;MOULIN DU CHAMP;;;;72160;THORIGNE_SUR_DUE;;;72358;48.03757;0.53408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.03757,0.53408;Sarthe
JOURNeES EUROPeENNES DU PATRIMOINE 2022 _ EGLISE ET PRIEURe;Manifestation Nationale;Eglise et Prieure;;;;72390;LAVARE;;;72158;48.053921;0.6456227;;02 43 93 68 11;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.053921,0.6456227;Sarthe
JOURNeES EUROPeENNES DU PATRIMOINE EDITION 2022 : VISITE GUIDeE DE LA CHAPELLE_HUON;Manifestation Nationale;;;Place de _eglise;;72310;LA CHAPELLE_HUON;;;72064;47.8556225;0.74327941;;02 43 35 82 95;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;47.8556225,0.74327941;Sarthe
LE PREMIER DIMANCHE , C'EST GRATUIT !;Visites et sorties a themes;;;Rue Victor Hugo;Musee de la Faïence et de la Ceramique;72270;MALICORNE_SUR_SARTHE;;;72179;47.8132155;_0.0833312;;02 43 48 07 17;;;espacefaience@wanadoo.fr;http://www.espacefaience.fr;Facebook||https://www.facebook.com/EspaceFaienceMalicorne/?fref=ts;;;;;;;;;oui;;non;;oui;;;;Français;Anglais;;;oui;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.8132155,_0.0833312;Sarthe
LES BEAUX DIMANCHES APReS_MIDIS : BRAZAKUJA;Concert;;;Lieu_dit Domaine du Gasseau;;72130;SAINT_LEONARD_DES_BOIS;;;72294;48.3600783;_0.0776124;;02 43 34 34 44;;;legasseau@cchautesarthealpesmancelles.fr;https://www.cchautesarthealpesmancelles.fr/tourisme/gasseau/;Facebook||https://www.facebook.com/Gasseau72/;;;;;Ponctuel;;;;;;;;;;;;;;;;oui;;;;;48.3600783,_0.0776124;Sarthe
LES BEAUX DIMANCHES APReS_MIDIS : MARCH MALLOW;Concert;;;Lieu_dit Domaine du Gasseau;;72130;SAINT_LEONARD_DES_BOIS;;;72294;48.3600783;_0.0776124;;02 43 34 34 44;;;legasseau@cchautesarthealpesmancelles.fr;https://www.cchautesarthealpesmancelles.fr/tourisme/gasseau/;Facebook||https://www.facebook.com/Gasseau72/;;;;;Ponctuel;;;;;;;;;;;;;;;;oui;;;;;48.3600783,_0.0776124;Sarthe
LES VISITE DeGUSTATION _ PATRIMOINE & JARDINS;Visites et sorties a themes;;Abbaye Royale de _Epau;Route de Change;;72530;YVRE _EVEQUE;;;72181;47.9839581;0.2506153;Transport en commun||||,Route (nationale/depart.)||||,Autoroute||||,Gare SNCF||||;02 43 84 22 29;;;epau.accueil@sarthe.fr;http://epau.sarthe.fr/;Facebook||https://fr_fr.facebook.com/AbbayeRoyaledelEpau/,Instagram||https://www.instagram.com/abbayeroyaledelepau_/?hl=fr;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||5,00||||,Tarif indiv. enfant||5,00||||;oui;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.9839581,0.2506153;Sarthe
LOMBR'EN FeTE;Fetes populaires;complexe sportif;;;;72450;LOMBRON;;;72165;48.080236;0.416376;;;06 69 17 55 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.080236,0.416376;Sarthe
MISeRABLES;Theatre;;;92 Avenue Jean Jaures;;72500;MONTVAL_SUR_LOIR;;;72071;47.68871;0.41512;;02 43 79 47 97;;;lacastelorienne@montvalsurloir.fr;https://www.facebook.com/chateauduloirmaville/;Facebook||https://www.facebook.com/chateauduloirmaville/;;;;;Ponctuel;;;;;;;;;;;;;;;Tarif indiv. adulte||4,00||||,Tarif indiv. enfant||3,00||||;;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;47.68871,0.41512;Sarthe
MJC PIXEL EVENT #7;Fetes populaires;;Maison de quartier Georges Moustaki;211 Rue des Maillets;;72000;Le Mans;;;72181;48.0170455;0.2158664;Route (nationale/depart.)||211 rue des Maillets||,Transport en commun||Tramway T2 _ Maillets Zamenhof||;09 81 41 49 32;;;;;;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||2,00||3,00||Journee,Tarif indiv. adulte||3,00||5,00||Week_end,Tarif indiv. enfant||||||Gratuit _ de 7 ans;non;;;;Especes;48.0170455,0.2158664;Sarthe
MOTS POUR MÔMES;Contes et lectures;;Bibliotheque des Vergers;49 Rue Thore;;72000;LE MANS;;;72181;47.99893;0.20617;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;47.99893,0.20617;Sarthe
NOËL MAGIQUE;Animations de Noël;;;;;72400;LA FERTE_BERNARD;;;72132;48.18685;0.65461;;02 43 60 72 72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.18685,0.65461;Sarthe
PORTE OUVERTE DU CHENIL DU RALLYE DE PERSEIGNE;Visites et sorties a themes;;;;;72600;VILLAINES_LA_CARELLE;;;72374;48.37684;0.30053;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.37684,0.30053;Sarthe
PROJET LOGING 3;Stages_Atelier_Jeux;Bibliotheque;;;;72460;SAVIGNE__EVEQUE;;;72329;48.076935;0.300514;;02 43 27 25 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.076935,0.300514;Sarthe
RANDONNeE;Randonnee;Salle Paul Richard;;;;72450;MONTFORT_LE_GESNOIS;;;72241;48.0482299;0.419952;;;06.71.18.68.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0482299,0.419952;Sarthe
RANDONNeE KAYAK;Manifestation sportive;Base de loisirs et Huisne;;;;72400;LA FERTE_BERNARD;;;72132;48.1805864;0.64897179;;06 27 02 23 82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1805864,0.64897179;Sarthe
ROCK THE BALLET X;Spectacle;;Palais des Congres;rue _Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;;;non;;oui;||https://www.lemans_evenements.fr/evenement/rock_the_ballet_x_10eme_anniversaire/||||||;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances;48.0007657,0.19202859;Sarthe
ReVEILLON;Fetes populaires;Salle Michel Berger;;;;72460;SAVIGNE__EVEQUE;;;72329;48.0742109;0.303046;;02 43 20 87 90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0742109,0.303046;Sarthe
SANDRINE SARROCHE;Spectacle;;;2 Place de la Gironde;Espace culturel Henri Salvador;72190;COULAINES;;;72095;48.02499;0.20536;;;;;;https://www.coulaines.fr/agenda/humour_l_evenement_sandrine_sarroche/;;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||27,00||||Tarif plein,Tarif indiv. reduit||18,00||||,Tarif groupe adulte||22,00||||;;;;;Cartes bancaires;48.02499,0.20536;Sarthe
SELLIG BEST OF;Spectacle;;Palais des Congres et de la Culture;Rue _Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;;;non;;oui;||https://www.lemans_evenements.fr/evenement/sellig_best_of/||||||;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances;48.0007657,0.19202859;Sarthe
SOIReE RETOUR VERS LE FUNK;Concert;;Bar du Lac;2 Rue de Villaines la Juhel;;72130;SAINT_PAUL_LE_GAULTIER;;;72309;48.3209;_0.10701;;;06 63 86 01 95;;bardulac72@gmail.com;;Facebook||https://www.facebook.com/bardulac72;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.3209,_0.10701;Sarthe
SOIReE LOUP_GAROU DE THIERCELLIEUX;Stages_Atelier_Jeux;Centre Maurice Loiseau;;;;72400;LA FERTE_BERNARD;;;72132;48.1836837;0.64840584;;06 77 76 92 84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1836837,0.64840584;Sarthe
SORTIE NATURE :  NATURE ENTRE LES PIERRES;Sortie nature / environnement;Place de _eglise;;;;72390;DOLLON;;;72118;48.03857;0.5867;;02 43 60 76 89;;;contact@tourismevba.fr;;;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||6,00||||,Tarif indiv. enfant||2,00||||Gratuit pour les adherents de la SEPENES;non;;;;Cheques bancaires et postaux,Especes;48.03857,0.5867;Sarthe
SORTIE ONF BERCe, FACE B;Visites et sorties a themes;Carnuta,;Maison de _Homme et de la foret;2 Rue du bourg ancien;;72500;JUPILLES;;;72153;47.7904938;0.41337164;;02 43 38 10 31;;;accueil.carnuta@loirluceberce.fr;http://www.carnuta.fr;;;;;;;;;;;;;;;oui;;;Français;;;;oui;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.7904938,0.41337164;Sarthe
SYPATSO’’’ RANDONNE;Randonnee;Parc Lucienne Paillard, a Cherre;;;;72400;CHERRE_AU;;;72132;48.1737623;0.6579109;;06 03 90 62 99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1737623,0.6579109;Sarthe
THEATRE;Theatre;;Salle La pleiade;Place Jean Dufournier;;72310;BESSE_SUR_BRAYE;;;72035;47.8331205;0.75297233;;02 43 35 39 55;;;mpt.besse@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;non;;;;Cheques bancaires et postaux,Especes;47.8331205,0.75297233;Sarthe
THeaTRE  _AVARE » DE MOLIeRE AU MANOIR DE LA COUR;Theatre;;;6 Rue du Temple;;72430;ASNIERES_SUR_VEGRE;;;72010;47.88864;_0.23576;;02 43 95 17 12;;;contact@lemanoirdelacour.fr;http://www.lemanoirdelacour.fr/spectacles_2021/;Facebook||https://www.facebook.com/manoirdelacour,Instagram||https://www.instagram.com/manoir_de_la_cour/;;;;;Ponctuel;;;;;;;;;;;;Français;;;Tarif indiv. adulte||8,00||10,00||,Tarif indiv. enfant||0,00||6,00||;;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.88864,_0.23576;Sarthe
TRAIL : SUR LES TRACES DE GARGANTUA;Manifestation sportive;Stade Michel Dumont;;;;72450;LOMBRON;;;72165;48.080236;0.416376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.080236,0.416376;Sarthe
TRIATHLON;Manifestation sportive;Base de Loisirs et Stade Municipal;;;;72400;LA FERTE_BERNARD;;;72132;48.1824145;0.6494344;;06 45 11 81 22;;;;https://www.la_ferte_bernard_triathlon.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1824145,0.6494344;Sarthe
TRIATHLON;Manifestation sportive;;Plan _eau;;;72120;SAINT_CALAIS;72120;;72269;47.9326732;0.7466961;;02 43 63 00 54;;;anille.braye@wanadoo.fr;;;;;;;Annuel;"Samedi a 14h30 ;Dimanche de 10h a 17h";;;;;;;;;;;;;;;;;;;;47.9326732,0.7466961;Sarthe
VIDE GRENIER;Brocantes & vide_greniers;Parking de la salle des fetes;;;;72390;SEMUR_EN_VALLON;;;72333;48.0242971;0.65332272;;02 43 93 26 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0242971,0.65332272;Sarthe
VISITE DU BOURG;Conference;place de _eglise;;;;72110;TORCE_EN_VALLEE;;;72359;48.1344;0.39787;;02 43 60 72 77;;;inventaire_perchesarthois@orange.fr;;;;;;;;;;;;;;;;;;;;;;;oui;Pays du Perche Sarthois||02 43 60 72 77||perche_sarthois@orange.fr;;;;48.1344,0.39787;Sarthe
VISITE GUIDEE DE PARCE_SUR_SARTHE;Visites et sorties a themes;;;Place de la Republique;;72300;PARCE_SUR_SARTHE;;;72228;47.843386;_0.198659;;;;;;;;;;;;Ponctuel;;;;oui;;;oui;;;1h30;;Français;;;Tarif indiv. adulte||4,00||||au_dessus de 12 ans;non;;;;Cheques bancaires et postaux,Especes;47.843386,_0.198659;Sarthe
VISITE TACTILE : DES ANIMAUX a TOUCHER !;Visites et sorties a themes;;Musee Vert;204 Avenue Jean Jaures;;72100;LE MANS;;;72181;47.98687;0.20842;;02 43 47 39 94;;;musees@lemans.fr;www.lemans.fr/musees;;;;;;Ponctuel;;;;;;;;;;;;;;;Tarif indiv. adulte||6,00||6,00||;non;;;;;47.98687,0.20842;Sarthe
VISITE_FLASH;Visites et sorties a themes;place de la mairie;;;;72320;VIBRAYE;;;72373;48.0647601;0.72733009;;02 43 60 72 77;;;;;;;;;;;;;;;;;;;;;;;;;;non;Pays du Perche Sarthois||02 43 60 72 77||perche_sarthois@orange.fr;;;;48.0647601,0.72733009;Sarthe
VISITE_FLASH DU QUARTIER SAINT_ANTOINE;Visites et sorties a themes;Quartier Saint_Antoine;;;;72400;LA FERTE_BERNARD;;;72132;48.185934;0.655979;;02 43 60 72 77;;;perche_sarthois@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;Pays du Perche Sarthois||02 43 60 72 77||perche_sarthois@orange.fr;;;;48.185934,0.655979;Sarthe
BARBECUE;Feux _artifice;Salle polyvalente;;;;72390;DOLLON;;;72118;48.0388384;0.59179749;;;;;mairie.dollon@orange.fr;;;;;;;Annuel;;;;;;;;;;;;;;;;;;;;;48.0388384,0.59179749;Sarthe
BOESSE EN FETES;Visites et sorties a themes;;;;;72400;BOESSE_LE_SEC;;;72038;48.13519;0.56331;;06 76 32 56 67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.13519,0.56331;Sarthe
BOUCAN ELECTRIQUE;Concert;Jardin du Prieure;;;;72390;LAVARE;;;72158;48.0539225;0.64586312;;;;;leboucandesarts@ettrucs.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0539225,0.64586312;Sarthe
BOUM;Fetes populaires;Salle Saint_Jean;;;;72450;MONTFORT_LE_GESNOIS;;;72241;48.0482299;0.419952;;;07.67.27.25.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0482299,0.419952;Sarthe
BOURSE AUX JOUETS;Brocantes & vide_greniers;salle des fetes;;;;72390;LE LUART;;;72172;48.069938;0.592255;;02 43 60 03 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.069938,0.592255;Sarthe
BRIC a BRAC DE _ASPG;Brocantes & vide_greniers;;;Rue Gambetta;;72000;LE MANS;;;72181;48.0074547;0.1888225;;;;;;https://www.associationsaintpavingambetta.com/event_details/bric_a_brac_1er_mai_2022;;;;;;Annuel;;;;;;;;;;;;;;;;;;;;;48.0074547,0.1888225;Sarthe
BRIC a BRAC SEMI_NOCTURNE;Brocantes & vide_greniers;;;;;72460;SAVIGNE__EVEQUE;;;72329;48.076935;0.300514;;;06 37 55 80 86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.076935,0.300514;Sarthe
BROCANTE DU VSF PeTANQUE;Brocantes & vide_greniers;Place General de Gaulle;;;;72400;LA FERTE_BERNARD;;;72132;48.180346;0.642277;;06 76 81 54 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.180346,0.642277;Sarthe
CINeMA DE PLEIN AIR : LA PANTHeRE DES NEIGES;Cinema;;Guinguette du Moulin;Route de Noyen_sur_Sarthe;;72270;MALICORNE_SUR_SARTHE;;;72179;47.81889;_0.09098;;243948014;;;;;;;;;;;Prevoyez votre chaise et votre couverture;;;;;;;;;;;;;;;oui;;;;;47.81889,_0.09098;Sarthe
CONCERT COSMOSE;Concert;;Bar du Lac;2 Rue de Villaines la Juhel;;72130;SAINT_PAUL_LE_GAULTIER;;;72309;48.3209;_0.10701;;;06 63 86 01 95;;bardulac72@gmail.com;;Facebook||https://www.facebook.com/bardulac72;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.3209,_0.10701;Sarthe
CONCERT AUX CHANDELLES;Concert;;eglise Saint Brice;;;72110;COURCIVAL;;;72102;48.2293401;0.39615173;;02 43 97 60 63;;;;;;;;;;Annuel;;;;;;;;;;;;;;;;oui;;;;;48.2293401,0.39615173;Sarthe
CONCERT COLLECTIF MeTISSe;Concert;;;;;72170;MEURCE;;;72194;48.23425;0.20139;;02 43 97 60 63;;;;;;https://www.youtube.com/watch?v=5pw0MpLTysE&t=7s;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||15,00||15,00||,Tarif indiv. enfant||12,00||12,00||Enfant _12 ans;;;;;;48.23425,0.20139;Sarthe
CONCERT SACOR'MUSIC;Concert;salle Michel Berger;;;;72460;SAVIGNE__EVEQUE;;;72329;48.076935;0.300514;;;06 71 90 25 62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.076935,0.300514;Sarthe
CONCOURS DE BOULES SEMI NOCTURNE;Manifestation sportive;;;;;72320;MELLERAY;;;72193;48.09928;0.79937;;02 43 93 64 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.09928,0.79937;Sarthe
CONCOURS DE PeCHE DU 14 JUILLET;Manifestation sportive;Jardin des Calots;;Rue des Calots;;72400;LA FERTE_BERNARD;;;72132;48.1936308;0.65793902;;07 83 83 51 81;06 03 03 66 88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1936308,0.65793902;Sarthe
COURSE CYCLISTE;Manifestation sportive;Saint Maixent;;;;72320;SAINT_MAIXENT;;;72296;48.089987;0.651629;;02 43 93 58 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.089987,0.651629;Sarthe
DÎNERS SPECTACLES;Spectacle;;Le Patis;38_40 rue d’Eichthal, Le Mans;;72000;LE MANS;;;72181;47.9999286;0.1848121;;02 43 87 75 72;;;cabaretlepatis@orange.fr;www.cabaretlepatis.com;Facebook||https://www.facebook.com/cabaret.lepatis/,Twitter||https://twitter.com/productionsLF;;;;;Mensuel;Consultez le calendrier des dates sur le site www.cabaretlepatis.com;;;;;;;;;;;;;;"Tarif indiv. adulte||||||Dîner/Dejeuner spectacle a partir de 76 €;Spectacle + coupe de champagne 51 €;Spectacle seul 43 €";non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes,Virement;47.9999286,0.1848121;Sarthe
EXPOSITION _ART DE LA NATURE;Exposition;;Dans le pigeonnier;Lieu_dit Domaine du Gasseau;;72130;SAINT_LEONARD_DES_BOIS;;;72294;48.3599004;_0.0775072;;02 43 34 34 44;;;legasseau@cchautesarthealpesmancelles.fr;https://www.cchautesarthealpesmancelles.fr/tourisme/gasseau/;Facebook||https://www.facebook.com/Gasseau72/;;;;;Annuel;;;;oui;;;;oui;;;;;;;;oui;;;;;48.3599004,_0.0775072;Sarthe
EXPOSITION _ART DES FULGURANCES DE ReMY LE GUILLERM;Exposition;;Galerie _arTmature;12 Place Thiers;;72130;FRESNAY_SUR_SARTHE;;;72138;48.2810764;0.01959198;;;06 67 48 28 56;;;http://www.lartmature.com/;Facebook||https://www.facebook.com/artmature72/;;;;;Ponctuel;;;;oui;;;;oui;;;;;;;;oui;;;;;48.2810764,0.01959198;Sarthe
EXPOSITION : LES CARTES S'AFFICHENT;Exposition;;;;;72370;ARDENAY_SUR_MERIZE;;;72007;47.99616;0.42459;;02 43 82 50 99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.99616,0.42459;Sarthe
EXPOSITION DE DINOSAURES;Exposition;;Parking a cote du Novotel;Boulevard Robert Schuman;;72100;LE MANS;;;72181;47.99156;0.233198;;;06 24 75 38 95;;contact.dinosaures@gmail.com;http://exposition_dino_world.com/;Facebook||https://www.facebook.com/leregnedesdinosaures/?eid=ARDMUpLP6dK7GfdwqPCU5wbs6TZoUsWI2ive_mMjqPxQNLHBUVG9pihgtQZefo59GakBVsNEZ5_ov4py;;;;;;;;;;;;;;;;;;;;"Tarif indiv. enfant||8,00||8,00||Tarifs : 8€/ enfant de 3 a 12 ans;10€/a partir de 13 ans ,Tarif indiv. adulte||10,00||10,00||Tarifs : 8€/ enfant de 3 a 12 ans;10€/ a partir de 13 ans";non;;;;Cheques bancaires et postaux,Especes;47.99156,0.233198;Sarthe
EXPOSITION DE MOTOS;Exposition;Salles P. Richard et A. Delhalle;;;;72450;MONTFORT_LE_GESNOIS;;;72241;48.0543056;0.38835956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0543056,0.38835956;Sarthe
EXPOSITION DES PEINTURES DE RAMON LOPEZ _ JAZZ PAINTINGS;Exposition;Office de Tourisme Maine Saosnois;;50 Place Carnot;;72600;MAMERS;;;72180;48.3509053;0.36970354;;02 43 97 60 63;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.3509053,0.36970354;Sarthe
FABRIQUONS NOS DeCORATIONS DE NOËL;Stages_Atelier_Jeux;Centre Maurice Loiseau;;;;72400;LA FERTE_BERNARD;;;72132;48.1835794;0.64794718;;06 77 76 92 84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1835794,0.64794718;Sarthe
FESTI'ROCK;Festival;;;Place de la Republique;;72600;MAMERS;;;72180;48.3507032;0.3694522;;02 43 97 60 63;;;;;;;;;;;;;;oui;;;;oui;;;;;;;;oui;;;;;48.3507032,0.3694522;Sarthe
FESTIVAL  LES RENDEZ_VOUS  DE ST LYPHARD;Festival;autour du centre Culturel Athena;Place General de Gaulle;;;72400;LA FERTE_BERNARD;;;72132;48.1827798;0.64955671;;02 43 71 46 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1827798,0.64955671;Sarthe
FESTIVITeS DU 14 JUILLET;Feux _artifice;;site des douves;;;72110;BEAUFAY;;;72026;48.14717;0.36301;;02 43 52 13 13;;;;;Facebook||https://www.facebook.com/mairiebeaufay;;;;;;;;;;;;;;;;;;;;;;;;;;48.14717,0.36301;Sarthe
FETE AU VILLAGE;Visites et sorties a themes;;;;;72160;DUNEAU;;;72122;48.06764;0.526697;;06 34 61 02 93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.06764,0.526697;Sarthe
FEU _ARTIFICE;Feux _artifice;;;;;72320;MELLERAY;;;72193;48.09928;0.79937;;02 43 93 64 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.09928,0.79937;Sarthe
FEUX _ARTIFICE ET MeCHOUI;Feux _artifice;;stade de foot;;;72110;NOGENT_LE_BERNARD;;;72220;48.2368;0.48955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2368,0.48955;Sarthe
